,country
C0,United States
C1,
C2,"Denmark, France, Sweden, Germany, Belgium, Tunisia"
C3,United Kingdom
C4,India
C5,"United States, Germany, United Kingdom, Australia"
C6,"United Kingdom, United States"
C7,South Korea
C8,Australia
C9,Brazil
C10,"India, United States"
C11,"Spain, United Kingdom, Italy"
C12,Nigeria
C13,"France, Egypt"
C14,"France, Belgium, United States"
C15,Philippines
C16,China
C17,"Chile, United States, France"
C18,Italy
C19,"Argentina, United States"
C20,Israel
C21,"United States, Mexico"
C22,"South Africa, United States"
C23,"Russia, United States"
C24,France
C25,"Austria, United Kingdom, United States"
C26,Spain
C27,"France, Malta, United States"
C28,Canada
C29,Japan
C30,Denmark
C31,"United States, Spain"
C32,Hong Kong
C33,Egypt
C34,"United States, Germany"
C35,"Netherlands, Denmark, France, Germany"
C36,Thailand
C37,Colombia
C38,Mexico
C39,Germany
C40,"United Kingdom, Canada, United States"
C41,"Canada, United States"
C42,Mozambique
C43,Singapore
C44,"Afghanistan, United States"
C45,"Chile, Argentina, United States"
C46,Indonesia
C47,"United States, Germany, Ireland, United Kingdom"
C48,"France, Canada"
C49,"United Kingdom, France, United States, China"
C50,Austria
C51,Argentina
C52,"Spain, Belgium, United States"
C53,"United States, Canada, China"
C54,"United Kingdom, China, United States, India"
C55,Turkey
C56,"United States, Ireland"
C57,"France, United States"
C58,"United States, United Kingdom, Australia"
C59,"Norway, France, Denmark, Sweden"
C60,"Ireland, United States, Canada, United Kingdom, Denmark, Spain, Poland, Hungary"
C61,"United States, United Kingdom"
C62,"United States, Canada"
C63,South Africa
C64,"France, Luxembourg, United States"
C65,"Japan, United States"
C66,"Norway, Sweden, United States"
C67,"Germany, United States"
C68,"Canada, Mexico, Germany, South Africa"
C69,"Romania, France, Switzerland, Germany"
C70,"India, France"
C71,"United States, United Kingdom, Germany, Hungary"
C72,"Argentina, Chile"
C73,Belgium
C74,"China, Hong Kong"
C75,"Ireland, United Kingdom, Sweden, Belgium, United States"
C76,"Australia, Colombia, United Kingdom"
C77,"United States, Czech Republic"
C78,"China, Spain, South Korea, United States"
C79,"United Kingdom, Hungary, Australia"
C80,"Iran, France"
C81,"Kosovo, Netherlands"
C82,"United States, Greece"
C83,"Colombia, Peru, United Kingdom"
C84,Lebanon
C85,"Netherlands, Denmark, South Africa"
C86,Chile
C87,New Zealand
C88,"Ireland, Belgium, United States"
C89,"United States, Thailand"
C90,"Finland, France"
C91,"United States, Canada, France"
C92,"Sweden, Denmark"
C93,"United States, Greece, Brazil"
C94,"Spain, Canada, United States"
C95,"Portugal, France, Poland, United States"
C96,Sweden
C97,"United States, Canada, Belgium, United Kingdom"
C98,Vietnam
C99,Cambodia
C100,Ireland
C101,"France, Australia, Germany"
C102,"United States, Italy"
C103,"China, United States"
C104,"Italy, France, Germany"
C105,"United States, Brazil"
C106,"Austria, Czech Republic"
C107,"Thailand, China, United States"
C108,"United States, United Kingdom, Australia, Canada"
C109,"India, Germany, France"
C110,"United States, Cambodia, Romania"
C111,"United States, Australia"
C112,"Belgium, Netherlands"
C113,"United Kingdom, South Africa"
C114,"France, Belgium"
C115,"Egypt, France"
C116,"Brazil, United States"
C117,"Australia, United States"
C118,"India, Malaysia"
C119,"Lebanon, France"
C120,"United Kingdom, Norway, Denmark, Germany, Sweden"
C121,"United Kingdom, Spain, United States, Germany"
C122,"Denmark, Germany, France, United Kingdom, United States, Qatar, Syria"
C123,"Norway, United Kingdom, France, Ireland"
C124,"Portugal, United States"
C125,"United Kingdom, Israel, United States"
C126,"Spain, Thailand, United States"
C127,"United States, France"
C128,Kuwait
C129,"Netherlands, Belgium"
C130,"France, Belgium, Luxembourg, Romania, Canada, United States"
C131,"United States, Germany, Canada"
C132,"United Kingdom, India, United States"
C133,Taiwan
C134,"United States, Russia"
C135,"Canada, France"
C136,"United Kingdom, United States, France, Italy"
C137,"Israel, United States"
C138,"Denmark, France, Belgium, Italy, Netherlands, United States, United Kingdom"
C139,"Italy, France"
C140,"Canada, United States, Brazil"
C141,"Sweden, United States"
C142,"United Kingdom, Australia, United States"
C143,Russia
C144,"United Kingdom, Canada, Italy"
C145,"United States, Bulgaria, Spain, Germany"
C146,"United States, United Arab Emirates"
C147,Pakistan
C148,"Austria, Germany"
C149,Poland
C150,"Canada, Germany"
