,tconst,ordering,nconst,category,job,characters
574971,tt0068284,5,nm0186091,director,\N,\N
575697,tt0068361,5,nm0000320,director,\N,\N
577639,tt0068575,5,nm0001379,director,\N,\N
579688,tt0068805,5,nm0706182,director,\N,\N
611619,tt0072431,5,nm0000316,director,\N,\N
661915,tt0078087,5,nm0001102,director,\N,\N
682724,tt0080436,5,nm0167195,director,\N,\N
720802,tt0084732,5,nm0000914,director,\N,\N
790727,tt0092632,5,nm0772259,director,\N,\N
794359,tt0093036,5,nm0089177,director,\N,\N
801316,tt0093822,5,nm0001054,director,\N,\N
801317,tt0093822,6,nm0001053,director,\N,\N
823918,tt0096378,5,nm0477129,director,\N,\N
855961,tt0100029,5,nm0504802,director,\N,\N
856102,tt0100046,5,nm0669004,director,\N,\N
904819,tt0105698,5,nm0000386,director,\N,\N
992119,tt0116059,5,nm0005190,director,\N,\N
997163,tt0116671,5,nm0177769,director,\N,\N
1031620,tt0120710,5,nm0001403,director,\N,\N
1846990,tt0245407,5,nm0563814,director,\N,\N
1965577,tt0263757,5,nm0945026,director,\N,\N
2002154,tt0269483,5,nm0783751,director,\N,\N
2415152,tt0330843,5,nm1249945,director,\N,\N
2613429,tt0363276,5,nm0124834,director,\N,\N
3247177,tt0457510,5,nm0381478,director,\N,\N
3277548,tt0461936,5,nm1027719,director,\N,\N
3422869,tt0484111,5,nm0658823,director,\N,\N
6149516,tt0829176,5,nm0331777,director,\N,\N
6531642,tt0880648,5,nm2207094,director,\N,\N
6757332,tt0910905,5,nm0851724,director,\N,\N
6870590,tt0926063,5,nm0084059,director,\N,\N
8487507,tt1032856,5,nm0464115,director,\N,\N
11025295,tt11080108,5,nm3859682,director,\N,\N
11248180,tt11143108,5,nm11065997,director,\N,\N
12763307,tt1158939,5,nm2830839,director,\N,\N
13545599,tt1182937,5,nm0159147,director,\N,\N
13626630,tt1185420,5,nm1160374,director,\N,\N
15994968,tt1265990,5,nm0160157,director,\N,\N
16178834,tt1272886,5,nm0959774,director,\N,\N
16526895,tt1285309,5,nm0097517,director,\N,\N
16611418,tt12882620,5,nm1918802,director,\N,\N
16611419,tt12882620,6,nm1472423,director,\N,\N
19589094,tt1407084,5,nm0001708,director,\N,\N
19741628,tt1412386,5,nm0006960,director,\N,\N
21928110,tt1483324,5,nm2666268,director,\N,\N
24818431,tt1592873,5,nm0018132,director,\N,\N
25944334,tt1656177,5,nm1637832,director,\N,\N
26612566,tt1709143,5,nm1099711,director,\N,\N
27117742,tt1764625,5,nm1955897,director,\N,\N
27873602,tt1833116,5,nm0224331,director,\N,\N
27983997,tt1837562,5,nm0418982,director,\N,\N
28083756,tt1846442,5,nm0371348,director,\N,\N
28443259,tt1883180,5,nm0027815,director,\N,\N
28872220,tt1929308,5,nm2928364,director,\N,\N
29355919,tt1974419,5,nm0716347,director,\N,\N
30697911,tt2106550,5,nm0733886,director,\N,\N
30991987,tt2165735,5,nm0864775,director,\N,\N
31668028,tt2308260,5,nm0032795,director,\N,\N
31741774,tt2323964,5,nm4355606,director,\N,\N
31812880,tt2338424,5,nm0582950,director,\N,\N
32171292,tt2417650,5,nm0608936,director,\N,\N
33165944,tt2844798,5,nm0610960,director,\N,\N
34241270,tt3326366,5,nm0075666,director,\N,\N
34437307,tt3404140,5,nm6153366,director,\N,\N
35331200,tt3780500,5,nm1314116,director,\N,\N
35908293,tt4048668,5,nm1887480,director,\N,\N
37270121,tt4647900,5,nm2564978,director,\N,\N
37270122,tt4647900,6,nm2543162,director,\N,\N
38439499,tt5179598,5,nm0185063,director,\N,\N
38455072,tt5186714,5,nm1410815,director,\N,\N
39236154,tt5542802,5,nm1803649,director,\N,\N
39636764,tt5700176,5,nm1163237,director,\N,\N
40477136,tt6045466,5,nm1923551,director,\N,\N
40627768,tt6107548,5,nm0304091,director,\N,\N
41291379,tt6390668,5,nm0014694,director,\N,\N
41453255,tt6463320,5,nm4138958,director,\N,\N
41654709,tt6543652,5,nm0667734,director,\N,\N
42847851,tt7059844,5,nm0222150,director,\N,\N
43173419,tt7183578,5,nm0159039,director,\N,\N
44538130,tt7721800,5,nm1804614,director,\N,\N
45957173,tt8239946,5,nm9751348,director,\N,\N
45957174,tt8239946,6,nm1628153,director,creative director,\N
45957175,tt8239946,7,nm4205110,director,co-director,\N
46318924,tt8368406,5,nm2705923,director,\N,\N
46807123,tt8543952,5,nm2013928,director,\N,\N
46807124,tt8543952,6,nm2967345,director,\N,\N
46807125,tt8543952,7,nm6957737,director,\N,\N
47541333,tt8804580,5,nm1761677,director,\N,\N
48055610,tt8983164,5,nm0576554,director,\N,\N
48589076,tt9176086,5,nm1244760,director,\N,\N
50495547,tt9824114,5,nm7101998,director,\N,\N
50505401,tt9827834,5,nm0038811,director,\N,\N
50721685,tt9906260,5,nm2967345,director,\N,\N
50721686,tt9906260,6,nm2013928,director,chief director,\N
50721687,tt9906260,7,nm1267452,director,episode director,\N
623317,tt0073760,5,nm0568546,director,\N,\N
635995,tt0075200,5,nm0829038,director,\N,\N
644315,tt0076137,5,nm0568546,director,\N,\N
648639,tt0076618,5,nm0522028,director,\N,\N
648640,tt0076618,6,nm0718627,director,\N,\N
648641,tt0076618,7,nm0828245,director,\N,\N
662495,tt0078158,5,nm0396421,director,\N,\N
675349,tt0079588,5,nm0292419,director,\N,\N
686580,tt0080861,5,nm0568546,director,\N,\N
809419,tt0094739,5,nm0000720,director,\N,\N
824448,tt0096438,5,nm0000709,director,\N,\N
836077,tt0097757,5,nm0166256,director,\N,\N
836078,tt0097757,6,nm0615780,director,\N,\N
894056,tt0104431,5,nm0001060,director,\N,\N
894102,tt0104437,5,nm0459170,director,\N,\N
902423,tt0105417,5,nm0001915,director,\N,\N
912719,tt0106611,5,nm0005509,director,\N,\N
917032,tt0107120,5,nm0650905,director,\N,\N
917116,tt0107131,5,nm0242271,director,\N,\N
937377,tt0109520,5,nm0918873,director,\N,\N
953490,tt0111419,5,nm0089940,director,\N,\N
953491,tt0111419,6,nm0325776,director,\N,\N
962583,tt0112499,5,nm0805965,director,\N,\N
968427,tt0113198,5,nm0510674,director,\N,\N
973718,tt0113862,5,nm0378893,director,\N,\N
975294,tt0114048,5,nm0934578,director,\N,\N
980748,tt0114709,5,nm0005124,director,\N,\N
982474,tt0114924,5,nm0005509,director,\N,\N
997143,tt0116669,5,nm0000338,director,\N,\N
1013487,tt0118617,5,nm0089940,director,\N,\N
1013488,tt0118617,6,nm0325776,director,\N,\N
1023073,tt0119718,5,nm0867262,director,\N,\N
1028764,tt0120363,5,nm0005124,director,\N,\N
1028765,tt0120363,6,nm0105169,director,co-director,\N
1028766,tt0120363,7,nm0881279,director,co-director,\N
1031039,tt0120631,5,nm0855035,director,\N,\N
1101192,tt0130623,5,nm0500343,director,\N,\N
1101193,tt0130623,6,nm0957798,director,\N,\N
1210445,tt0147800,5,nm0432627,director,\N,\N
1638793,tt0211181,5,nm0510674,director,\N,\N
1751956,tt0230011,5,nm0873779,director,\N,\N
1751957,tt0230011,6,nm0936374,director,\N,\N
1861231,tt0247638,5,nm0005190,director,\N,\N
1873958,tt0249677,5,nm0740311,director,\N,\N
1873959,tt0249677,6,nm0746013,director,co-director,\N
1977707,tt0265632,5,nm0790746,director,\N,\N
2012739,tt0271271,5,nm0182873,director,\N,\N
2030196,tt0273799,5,nm0384722,director,\N,\N
2030455,tt0273842,5,nm0102434,director,\N,\N
2092020,tt0283084,5,nm0751221,director,\N,\N
2169960,tt0294425,5,nm0789834,director,\N,\N
2182012,tt0296251,5,nm0388505,director,\N,\N
2237392,tt0304669,5,nm0501185,director,\N,\N
2600490,tt0361089,5,nm1369705,director,\N,\N
2616904,tt0363771,5,nm0011470,director,\N,\N
2649205,tt0368891,5,nm0005509,director,\N,\N
2706741,tt0377770,3,nm0597963,director,\N,\N
2742035,tt0382932,5,nm0083348,director,\N,\N
2742036,tt0382932,6,nm0684342,director,co-director,\N
2861975,tt0401398,5,nm1291225,director,\N,\N
2861976,tt0401398,6,nm1074748,director,\N,\N
2922472,tt0410696,5,nm0390822,director,\N,\N
3102195,tt0436339,5,nm0947087,director,\N,\N
3213377,tt0452598,5,nm0788202,director,\N,\N
3250613,tt0457993,5,nm1713427,director,\N,\N
3250614,tt0457993,6,nm1902232,director,\N,\N
3392440,tt0479113,1,nm0028764,director,\N,\N
3392441,tt0479113,2,nm1285750,director,\N,\N
3438952,tt0486761,5,nm0186038,director,\N,\N
3438953,tt0486761,6,nm0304432,director,\N,\N
6454869,tt0870154,5,nm1429471,director,\N,\N
7005543,tt0945571,2,nm0003977,director,\N,\N
7054427,tt0952640,5,nm0384722,director,\N,\N
7123608,tt0962726,5,nm0650905,director,\N,\N
7358641,tt0997047,5,nm0474955,director,\N,\N
7837750,tt1013542,5,nm0388505,director,\N,\N
9263697,tt1053810,5,nm0291205,director,\N,\N
10109546,tt1078912,5,nm0506613,director,\N,\N
10487253,tt1090750,5,nm0388505,director,\N,\N
11712603,tt1127884,5,nm0376712,director,\N,\N
13070133,tt11681250,5,nm0536632,director,\N,\N
14199172,tt1204342,5,nm0090386,director,\N,\N
15841352,tt12607910,10,nm4983044,director,\N,\N
15841357,tt12607910,5,nm6483324,director,\N,\N
15841358,tt12607910,6,nm8802062,director,\N,\N
15841359,tt12607910,7,nm7577540,director,\N,\N
15841360,tt12607910,8,nm6438942,director,\N,\N
15841361,tt12607910,9,nm1764613,director,\N,\N
16765124,tt1294226,5,nm1455688,director,\N,\N
17860247,tt1334106,5,nm0849314,director,\N,\N
19565486,tt14062858,1,nm2740450,director,\N,\N
21209853,tt14602326,5,nm0857130,director,\N,\N
22002014,tt1485796,5,nm1243905,director,\N,\N
24954075,tt1604171,5,nm0638271,director,\N,\N
27323136,tt1790809,5,nm1461392,director,\N,\N
27323137,tt1790809,6,nm1650283,director,\N,\N
28083756,tt1846442,5,nm0371348,director,\N,\N
30865567,tt2140373,5,nm0359387,director,\N,\N
33463451,tt2980706,5,nm0304432,director,\N,\N
33693390,tt3089630,5,nm0000110,director,\N,\N
34010039,tt3228774,5,nm0318916,director,\N,\N
37301971,tt4661600,5,nm0665396,director,\N,\N
37565234,tt4777008,5,nm1461392,director,\N,\N
37707232,tt4846340,5,nm0577647,director,\N,\N
38261409,tt5104604,5,nm0027572,director,\N,\N
39408226,tt5613056,2,nm0054659,director,\N,\N
