Unnamed: 0,title_id,title,start_year,rating,votes
364,tt0120631,Ever After: A Cinderella Story,1998,7.0,74972
57,tt0111419,Thumbelina,1994,6.2,17099
447,tt3089630,Artemis Fowl,2020,4.2,27648
236,tt1053810,The Big Year,2011,6.2,45020
23,tt0870154,Jungle Cruise,2021,6.6,178548
745,tt0104437,"Honey, I Blew Up the Kid",1992,4.8,44067
504,tt1294226,The Last Song,2010,5.9,87062
790,tt0401398,Kronk's New Groove,2005,5.8,13353
768,tt0116669,Jack,1996,5.8,60445
251,tt0452598,Cheaper by the Dozen 2,2005,5.5,58572
188,tt14062858,Us Again,2021,7.8,6473
207,tt2252938,Wander Over Yonder,2013,7.2,4236
609,tt0230011,Atlantis: The Lost Empire,2001,6.9,116779
331,tt0119718,Mr. Magoo,1997,4.0,15271
1032,tt0075200,The Shaggy D.A.,1976,5.8,3026
389,tt1485796,The Greatest Showman,2017,7.5,273221
597,tt0113198,A Goofy Movie,1995,6.9,53183
470,tt0107131,Homeward Bound: The Incredible Journey,1993,6.9,46238
629,tt0105958,Boy Meets World,1993,8.1,42263
433,tt0112499,The Big Green,1995,5.5,10153
857,tt0852863,Phineas and Ferb,2007,8.0,43973
665,tt0101076,Darkwing Duck,1991,7.6,16274
664,tt1090750,Dadnapped,2009,4.7,3053
280,tt0273799,Max Keeble's Big Move,2001,5.4,8113
435,tt0114924,While You Were Sleeping,1995,6.7,101471
920,tt0105417,Sister Act,1992,6.4,97484
321,tt2980706,Planes: Fire & Rescue,2014,5.9,17988
639,tt0294425,Cadet Kelly,2002,5.4,14249
527,tt8336340,Star Wars Resistance,2018,5.1,5746
1120,tt1334106,X-Men Origins: Wolverine,2009,7.9,3387
1058,tt0114709,Toy Story,1995,8.3,966861
1008,tt1204342,The Muppets,2011,7.1,91963
849,tt0479113,One Man Band,2005,7.7,16047
742,tt0962726,High School Musical 3: Senior Year,2008,4.8,62164
880,tt8980868,Purl,2018,6.5,4487
514,tt0436339,G-Force,2009,5.1,46269
860,tt5613056,Piper,2016,8.3,29055
1073,tt0283084,Tuck Everlasting,2002,6.6,23843
1087,tt0096438,Who Framed Roger Rabbit,1988,7.7,197704
1007,tt0079588,The Muppet Movie,1979,7.6,35837
911,tt2140373,Saving Mr. Banks,2013,7.5,160545
1123,tt1078912,Night at the Museum: Battle of the Smithsonian,2009,6.0,193226
1060,tt0120363,Toy Story 2,1999,7.9,567764
1107,tt0271271,Zenon: The Zequel,2001,5.7,3883
355,tt0113862,Mr. Holland's Opus,1995,7.3,38986
490,tt7146812,Onward,2020,7.4,142441
249,tt1571313,Pair of Kings,2010,5.7,4066
301,tt0118617,Anastasia,1997,7.1,121764
303,tt11681250,Godmothered,2020,6.1,12261
594,tt1846442,12 Dates of Christmas,2011,6.2,6765
66,tt14602326,Muppets Haunted Mansion,2021,6.4,6284
463,tt4777008,Maleficent: Mistress of Evil,2019,6.6,101841
850,tt0114048,Operation Dumbo Drop,1995,5.1,9086
934,tt0410696,Stuck in the Suburbs,2004,5.5,4037
734,tt0076137,Herbie Goes to Monte Carlo,1977,5.6,7452
120,tt3228774,Cruella,2021,7.3,221894
1018,tt0247638,The Princess Diaries,2001,6.3,142072
890,tt0265632,Recess: School's Out,2001,6.5,10584
79,tt0952640,Alvin and the Chipmunks,2007,5.2,84513
1112,tt0249677,Lady and the Tramp II: Scamp's Adventure,2001,5.7,11868
264,tt5104604,Isle of Dogs,2018,7.8,164003
1001,tt0097757,The Little Mermaid,1989,7.6,256670
394,tt12607910,Black Is King,2020,5.5,8795
111,tt0128890,Pepper Ann,1997,7.1,3652
1080,tt0361089,Valiant,2005,5.5,22800
367,tt1843230,Once Upon a Time,2011,7.7,220918
371,tt0109520,D2: The Mighty Ducks,1994,6.0,40281
541,tt0094739,Big Business,1988,6.4,14076
357,tt4846340,Hidden Figures,2016,7.8,223464
1024,tt0076618,The Rescuers,1977,6.9,63381
775,tt1865769,Jessie,2011,5.9,15516
1033,tt0073760,The Strongest Man in the World,1975,5.9,3289
802,tt0457993,Lilo & Stitch 2: Stitch Has a Glitch,2005,6.2,14715
592,tt0147800,10 Things I Hate About You,1999,7.3,331161
593,tt0211181,102 Dalmatians,2000,4.8,37350
1072,tt0296251,Tru Confessions,2002,7.4,3208
530,tt0458290,Star Wars: The Clone Wars,2008,8.4,87532
405,tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.5,300825
929,tt0083481,Spider-Man and His Amazing Friends,1981,7.2,3509
475,tt0368891,National Treasure,2004,6.9,326805
983,tt0082474,The Great Muppet Caper,1981,7.1,15383
671,tt0130623,Dinosaur,2000,6.4,59808
885,tt0382932,Ratatouille,2007,8.1,707242
835,tt0273842,Motocrossed,2001,6.5,5123
909,tt4661600,Sanjay's Super Team,2015,6.8,5102
660,tt0997047,College Road Trip,2008,4.3,16048
798,tt0945571,Lifted,2006,7.8,19481
1029,tt0304669,The Santa Clause 2,2002,5.7,56593
796,tt0486761,Leroy & Stitch,2006,6.1,6060
555,tt0377770,Destino,2003,7.6,5281
730,tt1127884,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,2008,2.5,12014
893,tt0078158,Return from Witch Mountain,1978,5.7,5133
1081,tt1159961,Waking Sleeping Beauty,2009,7.6,3020
503,tt1604171,Prom,2011,5.4,15282
733,tt0080861,Herbie Goes Bananas,1980,4.9,5720
967,tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9,391623
566,tt0106611,Cool Runnings,1993,7.0,102746
743,tt0107120,Hocus Pocus,1993,6.9,120445
963,tt1013542,The Cheetah Girls: One World,2008,4.5,4455
