,tconst,ordering,nconst,category,job,characters
623312,tt0073760,10,nm0413262,cinematographer,director of photography,\N
623313,tt0073760,1,nm0000621,actor,\N,"[""Dexter Riley""]"
623314,tt0073760,2,nm0283499,actor,\N,"[""Dean Higgins""]"
623315,tt0073760,3,nm0000781,actress,\N,"[""Harriet Crumply""]"
623316,tt0073760,4,nm0003110,actor,\N,"[""A.J. Arno""]"
623317,tt0073760,5,nm0568546,director,\N,\N
623318,tt0073760,6,nm0568539,writer,written by,\N
623319,tt0073760,7,nm0344065,writer,written by,\N
623320,tt0073760,8,nm0026419,producer,producer,\N
623321,tt0073760,9,nm0005979,composer,\N,\N
635990,tt0075200,10,nm0680402,cinematographer,director of photography,\N
635991,tt0075200,1,nm0427894,actor,\N,"[""Wilby Daniels""]"
635992,tt0075200,2,nm0687189,actress,\N,"[""Betty Daniels""]"
635993,tt0075200,3,nm0176792,actor,\N,"[""Tim""]"
635994,tt0075200,4,nm0943978,actor,\N,"[""John Slade""]"
635995,tt0075200,5,nm0829038,director,\N,\N
635996,tt0075200,6,nm0846884,writer,screenplay,\N
635997,tt0075200,7,nm0759041,writer,"novel ""The Hound of Florence""",\N
635998,tt0075200,8,nm0026419,producer,producer,\N
635999,tt0075200,9,nm0048301,composer,\N,\N
644310,tt0076137,10,nm0006030,composer,\N,\N
644311,tt0076137,1,nm0427894,actor,\N,"[""Jim Douglas""]"
644312,tt0076137,2,nm0461455,actor,\N,"[""Wheely Applegate""]"
644313,tt0076137,3,nm0813940,actress,\N,"[""Diane Darcy""]"
644314,tt0076137,4,nm0547462,actor,\N,"[""Inspector Bouchet""]"
644315,tt0076137,5,nm0568546,director,\N,\N
644316,tt0076137,6,nm0022492,writer,written by,\N
644317,tt0076137,7,nm0625316,writer,written by,\N
644318,tt0076137,8,nm0119423,writer,characters created by,\N
644319,tt0076137,9,nm0589253,producer,producer,\N
648634,tt0076618,10,nm0027011,writer,story,\N
648635,tt0076618,1,nm0627878,actor,\N,"[""Bernard""]"
648636,tt0076618,2,nm0001247,actress,\N,"[""Miss Bianca""]"
648637,tt0076618,3,nm0656183,actress,\N,"[""Madame Medusa""]"
648638,tt0076618,4,nm0283499,actor,\N,"[""Mr. Snoops""]"
648639,tt0076618,5,nm0522028,director,\N,\N
648640,tt0076618,6,nm0718627,director,\N,\N
648641,tt0076618,7,nm0828245,director,\N,\N
648642,tt0076618,8,nm0789100,writer,"suggested by ""The Rescuers"" and ""Miss Bianca"" by",\N
648643,tt0076618,9,nm0166307,writer,story,\N
662490,tt0078158,10,nm0006277,composer,\N,\N
662491,tt0078158,1,nm0000012,actress,\N,"[""Letha""]"
662492,tt0078158,2,nm0000489,actor,\N,"[""Victor""]"
662493,tt0078158,3,nm0001668,actress,\N,"[""Tia""]"
662494,tt0078158,4,nm0252055,actor,\N,"[""Tony""]"
662495,tt0078158,5,nm0396421,director,\N,\N
662496,tt0078158,6,nm0549393,writer,written by,\N
662497,tt0078158,7,nm0450720,writer,characters,\N
662498,tt0078158,8,nm0183857,producer,producer,\N
662499,tt0078158,9,nm0589253,producer,producer,\N
675344,tt0079588,10,nm0542552,cinematographer,director of photography,\N
675345,tt0079588,1,nm0001345,actor,\N,"[""Kermit the Frog"",""Rowlf"",""Dr. Teeth""]"
675346,tt0079588,2,nm0000568,actor,\N,"[""Miss Piggy"",""Fozzie Bear"",""Animal""]"
675347,tt0079588,3,nm0625456,actor,\N,"[""Floyd Pepper"",""Crazy Harry"",""Robin the Frog""]"
675348,tt0079588,4,nm0402611,actor,\N,"[""Scooter"",""Statler"",""Janice""]"
675349,tt0079588,5,nm0292419,director,\N,\N
675350,tt0079588,6,nm0432075,writer,written by,\N
675351,tt0079588,7,nm0122698,writer,written by,\N
675352,tt0079588,8,nm0038502,composer,\N,\N
675353,tt0079588,9,nm0931437,composer,\N,\N
686575,tt0080861,10,nm0680402,cinematographer,director of photography,\N
686576,tt0080861,1,nm0001747,actor,\N,"[""D.J.""]"
686577,tt0080861,2,nm0122881,actor,\N,"[""Pete""]"
686578,tt0080861,3,nm0001458,actress,\N,"[""Aunt Louise""]"
686579,tt0080861,4,nm0006893,actor,\N,"[""Prindle""]"
686580,tt0080861,5,nm0568546,director,\N,\N
686581,tt0080861,6,nm0846884,writer,written by,\N
686582,tt0080861,7,nm0119423,writer,characters creator,\N
686583,tt0080861,8,nm0589253,producer,producer,\N
686584,tt0080861,9,nm0006030,composer,\N,\N
700870,tt0082474,10,nm0710809,composer,\N,\N
700871,tt0082474,1,nm0001345,actor,\N,"[""Kermit the Frog"",""Rowlf"",""Dr. Teeth""]"
700872,tt0082474,2,nm0000568,actor,\N,"[""Miss Piggy"",""Fozzie Bear"",""Animal""]"
700873,tt0082474,3,nm0324397,actor,\N,"[""The Great Gonzo"",""Beauregard"",""Zoot""]"
700874,tt0082474,4,nm0625456,actor,\N,"[""Floyd Pepper"",""Pops"",""Lew Zealand""]"
700875,tt0082474,5,nm0665305,writer,written by,\N
700876,tt0082474,6,nm0850695,writer,written by,\N
700877,tt0082474,7,nm0432075,writer,written by,\N
700878,tt0082474,8,nm0741439,writer,written by,\N
700879,tt0082474,9,nm0493874,producer,producer,\N
709766,tt0083481,10,nm0308744,actress,\N,"[""Angelica Jones"",""Firestar"",""Ororo Munroe""]"
709767,tt0083481,1,nm0175788,actor,\N,"[""Red Skull"",""The Chameleon""]"
709768,tt0083481,2,nm0432217,actress,\N,"[""Mona Osborn""]"
709769,tt0083481,3,nm0263057,actor,\N,"[""Professor Wells""]"
709770,tt0083481,4,nm0004931,actress,\N,"[""Aunt May Parker"",""Aunt May""]"
709771,tt0083481,5,nm0548808,writer,written by,\N
709772,tt0083481,6,nm0498278,writer,creator,\N
709773,tt0083481,7,nm0456158,writer,creator,\N
709774,tt0083481,8,nm0228492,writer,creator,\N
709775,tt0083481,9,nm4631473,writer,creator: Firestar,\N
809414,tt0094739,10,nm0002626,composer,\N,\N
809415,tt0094739,1,nm0000541,actress,\N,"[""Sadie Shelton"",""Sadie Ratliff""]"
809416,tt0094739,2,nm0005499,actress,\N,"[""Rose Shelton"",""Rose Ratliff""]"
809417,tt0094739,3,nm0911542,actor,\N,"[""Roone Dimmick""]"
809418,tt0094739,4,nm0001346,actor,\N,"[""Graham Sherbourne""]"
809419,tt0094739,5,nm0000720,director,\N,\N
809420,tt0094739,6,nm0682752,writer,written by,\N
809421,tt0094739,7,nm0747822,writer,written by,\N
