Unnamed: 0,title_id,title,start_year,rating,votes
1892,tt4903242,The Detour,2016,7.7,6911
2776,tt1582457,The Borgias,2011,7.9,50872
1643,tt0338096,Dirty Dancing: Havana Nights,2004,5.9,28105
2032,tt6548228,Castle Rock,2018,7.5,44581
2485,tt0239195,Survivor,2000,7.4,24525
2498,tt0368530,One Tree Hill,2003,7.7,78862
471,tt7018644,Grown-ish,2018,6.3,5443
2571,tt4307902,The Carmichael Show,2015,7.6,3073
1887,tt7616148,Luce,2019,6.6,12973
200,tt2660806,Mom,2013,7.3,34418
1652,tt0145487,Spider-Man,2002,7.4,797675
2227,tt5583512,Cardinal,2017,7.7,9610
2457,tt5462326,Mom and Dad,2017,5.5,23713
2456,tt0758745,Friday Night Lights,2006,8.7,64741
1497,tt1575539,Elena Undone,2010,6.0,5977
1664,tt1865718,Gravity Falls,2012,8.9,98858
2085,tt7589524,Aniara,2018,6.2,8958
1336,tt4329810,QT8: The First Eight,2019,7.3,4024
2714,tt2705602,Atlantis,2013,6.5,11584
2446,tt2654620,The Strain,2014,7.3,80214
2336,tt2586120,Racer and the Jailbird,2017,6.3,4976
2572,tt2211129,The Mindy Project,2012,7.4,31582
1707,tt2235759,The Great,2020,8.2,39527
1742,tt1778304,Paranormal Activity 3,2011,5.8,94454
277,tt2094064,Much Ado About Nothing,2012,7.0,16673
476,tt5093026,Papillon,2017,7.2,73268
2688,tt0410975,Desperate Housewives,2004,7.6,126362
2465,tt3741634,Tokyo Ghoul,2014,7.8,50106
2675,tt2226342,Devious Maids,2013,7.8,23813
2215,tt6220752,Pledge,2018,5.4,3481
1974,tt0490668,My Little Pony: The Princess Promenade,2006,7.5,4765
2599,tt1910272,Steins;Gate,2011,8.8,58639
999,tt1853739,You're Next,2011,6.5,97599
2192,tt5056196,Catch-22,2019,7.7,17549
2458,tt3859272,Tragedy Girls,2017,6.0,10167
47,tt1583421,G.I. Joe: Retaliation,2013,5.7,180845
2826,tt0098948,Wings,1990,7.3,12752
599,tt1694020,The Guilt Trip,2012,5.8,37246
1400,tt2802850,Fargo,2014,8.9,363426
1954,tt7078658,The Day Shall Come,2019,5.8,3838
1176,tt0808151,Angels & Demons,2009,6.7,289828
796,tt6842770,Wild Mountain Thyme,2020,5.6,8417
390,tt1213012,Alpha and Omega,2010,5.1,14326
2848,tt0791205,Ergo Proxy,2006,7.9,14032
71,tt11794642,Big Sky,2020,6.8,17316
618,tt3316796,Alone,2014,7.9,10430
1096,tt0119008,Donnie Brasco,1997,7.7,302125
2653,tt0286486,The Shield,2002,8.7,79380
2460,tt6304046,Thelma,2017,7.0,31561
2822,tt0103491,Melrose Place,1992,5.9,12146
410,tt0082782,My Bloody Valentine,1981,6.2,21526
2233,tt6205872,Assassination Nation,2018,6.0,19002
1311,tt1785123,Storage Wars,2010,6.3,9695
1352,tt6450804,Terminator: Dark Fate,2019,6.2,172572
1611,tt8663516,Child's Play,2019,5.7,51015
2585,tt0435961,Gungrave,2003,7.9,4877
768,tt0110216,Junior,1994,4.7,68748
2294,tt0126158,He-Man and the Masters of the Universe,1983,7.5,18446
1349,tt7703924,Infamous,2020,4.2,3019
2189,tt0096542,Baywatch,1989,5.4,27614
2502,tt1552112,The Glades,2010,7.4,13415
2934,tt1772379,The Fades,2011,7.6,6640
447,tt12306692,American Horror Stories,2021,6.1,15850
2153,tt6769280,Time Freak,2018,5.8,8872
2794,tt0974613,The Other Man,2008,5.4,11893
64,tt0072562,Saturday Night Live,1975,8.0,48099
2123,tt6768578,Dogman,2018,7.2,26461
1127,tt4536768,The Osiris Child,2016,5.5,8409
1122,tt3200980,Where Hope Grows,2014,6.6,3354
1007,tt7242816,Harrow,2018,7.5,7916
734,tt7557108,Saint Maud,2019,6.7,33591
1865,tt4574736,Charlotte,2015,7.5,6297
133,tt1951264,The Hunger Games: Catching Fire,2013,7.5,652768
841,tt1191056,The Real Housewives of New York City,2008,4.5,3602
414,tt0094006,Some Kind of Wonderful,1987,7.0,31135
2000,tt1489887,Booksmart,2019,7.1,114487
2545,tt4189492,Man Seeking Woman,2015,7.7,10417
2362,tt1441109,Cougar Town,2009,7.0,43359
2633,tt1821681,Touch,2012,7.3,42602
2518,tt0098936,Twin Peaks,1990,8.8,192872
1901,tt6128254,Lodge 49,2018,7.6,4059
106,tt0128445,Rushmore,1998,7.6,183490
1438,tt9223870,Woke,2020,6.2,3228
1990,tt2100546,Ice Age: A Mammoth Christmas,2011,6.4,10380
2102,tt6301452,Matriarch,2018,5.3,4951
1022,tt5918982,Possessor,2020,6.5,33712
2191,tt7545524,Ben Is Back,2018,6.7,21583
80,tt0345061,Code 46,2003,6.1,20579
1249,tt1411598,The Real Housewives of New Jersey,2009,4.0,3597
416,tt2118624,The Final Girls,2015,6.5,46267
1282,tt2861424,Rick and Morty,2013,9.2,478024
1103,tt1341188,How Do You Know,2010,5.4,50083
358,tt4419214,Queen Sugar,2016,7.5,5384
2570,tt0460627,Bones,2005,7.8,154555
918,tt0108872,My So-Called Life,1994,8.4,20567
1812,tt9418572,Bless This Mess,2019,6.8,4029
2379,tt8089526,The Box,2018,9.5,6765
2440,tt4047038,Dirk Gently's Holistic Detective Agency,2016,8.2,49912
1254,tt6470478,The Good Doctor,2017,8.1,89667
1453,tt0462499,Rambo,2008,7.0,229402
