,title_id,title,type,num_type
256,tt8543952,Trust,Drama,1
493,tt2391224,The Paradise,"Drama, Romance",2
555,tt0100046,The Long Walk Home,"Drama, Kids",2
595,tt1285309,The Joneses,Drama,1
603,tt1833116,The Informer,"Action, Suspense",2
671,tt1772379,The Fades,Drama,1
752,tt1032856,The Band's Visit,"Arts, Entertainment, and Culture, Comedy",4
840,tt0239195,Survivor,Unscripted,1
886,tt1785123,Storage Wars,TV Shows,1
1230,tt0185102,Queer as Folk,"Drama, LGBTQ",2
1299,tt0078087,Piranha,"Horror, Science Fiction",2
1777,tt6045466,Madame,"Comedy, Drama",2
1820,tt0269483,Lone Star State of Mind,"Comedy, Drama",2
1840,tt4919484,Little Men,"Drama, Historical",2
2089,tt6390668,Invisible Life,"Drama, International",2
2121,tt0120710,In Dreams,"Horror, Suspense",2
2171,tt2577192,Howards End,"Drama, Special Interest",2
2221,tt9906260,Hero,"Action, Drama, International",3
2301,tt3435532,Gracepoint,"Drama, Suspense",2
2392,tt0829176,Gallowwalkers,"Action, Science Fiction",2
2451,tt0093036,Flowers in the Attic,Horror,1
2500,tt0068575,Fat City,"Drama, Sports",2
2777,tt1441109,Cougar Town,Comedy,1
2872,tt8983164,Chhalaang,"Comedy, Drama",2
2898,tt5056196,Catch-22,"Action, Comedy, Military and War",3
3005,tt0460627,Bones,"Drama, Suspense",2
3065,tt5179598,Billionaire Boys Club,"Action, Drama, Suspense",3
3083,tt7721800,Bharat,"Drama, International",2
3136,tt0080436,Battle Creek Brawl,Action,1
3200,tt2705602,Atlantis,"Action, Science Fiction",2
3276,tt1596786,American Pickers,TV Shows,1
3352,tt10174244,Afsos,"Action, Comedy, Drama",3
3469,tt2417650,30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,"Comedy, Horror, Young Adult Audience",3
3596,tt5253282,The Bachelors,"Comedy, Drama",2
3681,tt0910905,In the Electric Mist,"Drama, Horror, Suspense",3
3843,tt0116671,Jack Frost,Horror,1
3891,tt7059844,Dabangg 3,"Action, Romance",2
3946,tt8239946,Tumbbad,"Horror, International, Suspense",3
4029,tt0116059,Dear God,Comedy,1
4076,tt5700176,Dark River,"Drama, Suspense",2
4157,tt6543652,Cold War,"Arthouse, Drama",2
4219,tt5186714,The Salesman,Drama,1
4237,tt5093026,Papillon,"Action, Adventure, Drama",3
4316,tt1158939,Never Grow Old,"Action, Adventure, Western",3
4436,tt9824114,Original Gangster,"Action, Comedy, Suspense",3
4498,tt5542802,Raabta,"Drama, International, Romance",3
4505,tt9176086,Saina,"Drama, Sports",2
4571,tt1656177,Most Wanted,"Action, Adventure, Drama",3
4577,tt6107548,Late Night,"Comedy, Drama",2
