Unnamed: 0,title_id,title,start_year,rating,votes
1640,tt1648186,Fisherman's Friends,2019,7.0,9022
7744,tt5126922,The Pirates of Somalia,2017,6.7,10023
5986,tt0190332,"Crouching Tiger, Hidden Dragon",2000,7.9,266324
4300,tt6522546,Spyder,2017,6.3,10338
6613,tt0373074,Kung Fu Hustle,2004,7.7,137409
132,tt0116996,Mars Attacks!,1996,6.4,224704
237,tt14252964,Gone for Good,2021,6.3,3982
7359,tt0117765,Striptease,1996,4.5,45542
183,tt0811066,Shootout at Lokhandwala,2007,7.1,10181
5415,tt3824412,Results,2015,5.4,7111
7659,tt1504320,The King's Speech,2010,8.0,672178
2839,tt9760504,NiNoKuni,2019,6.1,3338
2613,tt8771910,Self Made: Inspired by the Life of Madam C.J. Walker,2020,7.3,11710
1268,tt10303430,Sightless,2020,5.5,8272
2316,tt10627720,Ne Zha,2019,7.4,7464
3963,tt2172584,Maps to the Stars,2014,6.2,40580
6606,tt1613750,Kon-Tiki,2012,7.2,48846
3910,tt6595896,Pokémon the Movie: I Choose You!,2017,6.3,6824
2445,tt0893507,Beynelmilel,2006,7.2,7865
7291,tt0108162,Sliver,1993,5.0,31182
5002,tt5294198,Catfight,2016,5.9,6291
5172,tt3544734,Zapped,2014,5.0,5360
6458,tt0780567,Imagine That,2009,5.6,14725
3090,tt1315981,A Single Man,2009,7.5,111661
3579,tt7605074,The Wandering Earth,2019,5.9,30175
6212,tt0369436,Four Christmases,2008,5.7,71810
4801,tt7214842,One of Us,2017,7.0,6515
2662,tt0456149,The Death of Mr. Lazarescu,2005,7.8,15012
710,tt0185183,Battlefield Earth,2000,2.5,79922
7520,tt4210080,The Confirmation,2016,6.4,6791
3267,tt8110640,In the Shadow of the Moon,2019,6.2,51731
7445,tt5253282,The Bachelors,2017,6.8,4973
203,tt4779326,The Water Man,2020,5.4,3842
7215,tt0134084,Scream 3,2000,5.6,140848
5190,tt4273292,Under the Shadow,2016,6.8,27250
287,tt15036416,Shiny_Flakes: The Teenage Drug Lord,2021,7.3,4635
483,tt0118571,Air Force One,1997,6.5,193586
2517,tt6259380,Code 8,2019,6.1,39466
6229,tt3352390,Friend Request,2016,5.2,26102
5479,tt0478087,21,2008,6.8,248001
5076,tt4631532,Our Lovers,2016,6.7,4192
5061,tt5946128,Dear Zindagi,2016,7.4,39498
2427,tt9109976,Psycho,2020,6.2,4139
732,tt0462482,Population 436,2006,5.7,12444
140,tt0181739,Osmosis Jones,2001,6.3,35869
485,tt0295178,Austin Powers in Goldmember,2002,6.2,207613
1803,tt3532628,Black,2014,8.3,4028
3058,tt8688814,The Dragon Prince,2018,8.4,21841
1581,tt12411074,Paranormal,2020,8.0,71583
806,tt1826603,Asmaa,2011,8.1,4466
6967,tt0431308,P.S. I Love You,2007,7.0,208653
5524,tt5189894,68 Kill,2017,6.0,5850
1090,tt2473602,Get on Up,2014,6.9,24534
4022,tt6892462,The World Is Yours,2018,6.3,4305
2551,tt0098999,Agneepath,1990,7.6,8925
6526,tt5639446,Jonathan,2018,5.9,6189
6643,tt2467046,Left Behind,2014,3.1,39679
6159,tt1528406,Fairy Tail,2009,8.0,24083
6388,tt4419364,Holidays,2016,5.1,11186
4127,tt7472352,Shirkers,2018,7.4,5110
3791,tt5773986,Studio 54,2018,7.0,3040
6569,tt0107311,Khalnayak,1993,7.1,3346
773,tt9251798,Ragnarok,2020,7.5,36412
1578,tt13318052,Midnight at the Magnolia,2020,5.8,5348
6649,tt1219342,Legend of the Guardians: The Owls of Ga'Hoole,2010,6.9,82949
3976,tt0914376,The Innocent Man,2018,7.3,5916
6868,tt5111874,My Scientology Movie,2015,6.6,12884
89,tt8009744,Worth,2020,6.8,13522
120,tt0102065,House Party 2,1991,5.2,6580
3865,tt9425132,Conversations with a Killer: The Ted Bundy Tapes,2019,7.7,28576
7799,tt3848888,The Shaukeens,2014,4.9,3033
47,tt1999167,Naruto Shippuden the Movie: Blood Prison,2011,7.1,5054
7331,tt2101441,Spring Breakers,2012,5.3,141529
7556,tt0377818,The Dukes of Hazzard,2005,5.1,78665
34,tt2720826,Birth of the Dragon,2016,5.6,8187
425,tt14832996,How to Become a Tyrant,2021,7.4,8331
1461,tt0102744,Quigley Down Under,1990,6.9,22210
1876,tt9820352,Villain,2020,5.9,3323
4800,tt6214928,1922,2017,6.2,62105
4671,tt3169770,Retribution,2015,6.6,10163
7693,tt0347436,The Lord of the Rings: The Two Towers,2002,8.2,3025
362,tt6402468,Blood Red Sky,2021,6.1,45955
3633,tt7315484,The Silence,2019,5.3,44518
7203,tt2140373,Saving Mr. Banks,2013,7.5,160545
6598,tt3398976,Knights of Sidonia,2014,7.7,4346
2259,tt1552211,The Last Days of American Crime,2020,3.7,11421
320,tt1878870,The Edge of Seventeen,2016,7.3,123020
3473,tt3114390,Kill la Kill,2013,7.9,13725
6669,tt4919484,Little Men,2016,6.7,7361
4207,tt2186933,Luv Shuv Tey Chicken Khurana,2012,6.6,3918
7650,tt1058017,The Invention of Lying,2009,6.3,139626
6581,tt0266697,Kill Bill: Vol. 1,2003,8.2,1087263
7489,tt4030600,The Bye Bye Man,2017,4.3,23846
4603,tt5197860,Tabula Rasa,2017,8.0,10233
668,tt9310336,Trese,2021,7.0,3751
3214,tt3565486,Black Money Love,2014,7.4,6112
2576,tt0172684,Kuch Kuch Hota Hai,1998,7.6,51833
7000,tt0457433,Perfect Stranger,2007,5.7,47910
7080,tt6927152,Rampant,2018,6.3,4139
2617,tt8741648,The Letter for the King,2020,5.9,7422
