,tconst,ordering,nconst,category,job,characters
847064,tt0098999,10,nm0473742,composer,\N,\N
847065,tt0098999,1,nm0000821,actor,\N,"[""Vijay Dinanath Chavan""]"
847066,tt0098999,2,nm0149822,actor,\N,"[""Krishnan Iyer MA""]"
847067,tt0098999,3,nm0534863,actress,\N,"[""Mary Matthew""]"
847068,tt0098999,4,nm0624174,actress,\N,"[""Siksha Chavan""]"
847069,tt0098999,5,nm0002172,director,\N,\N
847070,tt0098999,6,nm2832163,writer,Subtitles,\N
847071,tt0098999,7,nm0434318,writer,dialogue,\N
847072,tt0098999,8,nm0765454,writer,screenplay,\N
847073,tt0098999,9,nm0424105,producer,producer,\N
873725,tt0102065,10,nm0071014,composer,original score composer,\N
873726,tt0102065,1,nm0717212,actor,\N,"[""Kid""]"
873727,tt0102065,2,nm0552086,actor,\N,"[""Play""]"
873728,tt0102065,3,nm0001454,actor,\N,"[""Bilal""]"
873729,tt0102065,4,nm0101193,actor,\N,"[""Pee-Wee""]"
873730,tt0102065,5,nm0413547,director,\N,\N
873731,tt0102065,6,nm0570408,director,\N,\N
873732,tt0102065,7,nm0399737,writer,characters,\N
873733,tt0102065,8,nm0192090,writer,story,\N
873734,tt0102065,9,nm0630012,writer,screenplay,\N
879551,tt0102744,10,nm0250867,cinematographer,director of photography,\N
879552,tt0102744,1,nm0000633,actor,\N,"[""Matthew Quigley""]"
879553,tt0102744,2,nm0000624,actress,\N,"[""Crazy Cora""]"
879554,tt0102744,3,nm0000614,actor,\N,"[""Elliott Marston""]"
879555,tt0102744,4,nm0371824,actor,\N,"[""Major Ashley-Pitt""]"
879556,tt0102744,5,nm0934578,director,\N,\N
879557,tt0102744,6,nm0384398,writer,written by,\N
879558,tt0102744,7,nm0642890,producer,producer,\N
879559,tt0102744,8,nm0741228,producer,producer,\N
879560,tt0102744,9,nm0006231,composer,\N,\N
918584,tt0107311,10,nm0576543,cinematographer,\N,\N
918585,tt0107311,1,nm0004569,actor,\N,"[""Balaram Prasad 'Ballu'""]"
918586,tt0107311,2,nm0002043,actress,\N,"[""Ganga (Gangotri Devi)""]"
918587,tt0107311,3,nm0006763,actor,\N,"[""Inspector Ram Kumar Sinha""]"
918588,tt0107311,4,nm0347901,actress,\N,"[""Aarti Prasad""]"
918589,tt0107311,5,nm0007131,director,\N,\N
918590,tt0107311,6,nm0445474,writer,screenplay,\N
918591,tt0107311,7,nm0659238,writer,dialogue,\N
918592,tt0107311,8,nm0473742,composer,\N,\N
918593,tt0107311,9,nm0701403,composer,\N,\N
925739,tt0108162,10,nm0006290,composer,\N,\N
925740,tt0108162,1,nm0000232,actress,\N,"[""Carly Norris""]"
925741,tt0108162,2,nm0000287,actor,\N,"[""Zeke Hawkins""]"
925742,tt0108162,3,nm0000297,actor,\N,"[""Jack Landsford""]"
925743,tt0108162,4,nm0908116,actress,\N,"[""Vida Warren""]"
925744,tt0108162,5,nm0637518,director,\N,\N
925745,tt0108162,6,nm0505615,writer,novel,\N
925746,tt0108162,7,nm0000390,writer,screenplay,\N
925747,tt0108162,8,nm0263172,producer,producer,\N
925748,tt0108162,9,nm0287080,producer,producer,\N
999846,tt0116996,10,nm0766921,writer,trading card series,\N
999847,tt0116996,1,nm0000197,actor,\N,"[""President James Dale"",""Art Land""]"
999848,tt0116996,2,nm0000112,actor,\N,"[""Professor Donald Kessler""]"
999849,tt0116996,3,nm0000572,actress,\N,"[""Nathalie Lake""]"
999850,tt0116996,4,nm0000906,actress,\N,"[""Barbara Land""]"
999851,tt0116996,5,nm0000318,director,\N,\N
999852,tt0116996,6,nm0114083,writer,trading card series,\N
999853,tt0116996,7,nm0312481,writer,trading card series,\N
999854,tt0116996,8,nm0940071,writer,trading card series,\N
999855,tt0116996,9,nm0694035,writer,trading card series,\N
1006313,tt0117765,10,nm0167613,editor,\N,\N
1006314,tt0117765,1,nm0000193,actress,\N,"[""Erin Grant""]"
1006315,tt0117765,2,nm0000608,actor,\N,"[""Congressman David Dilbeck""]"
1006316,tt0117765,3,nm0000800,actor,\N,"[""Lt. Al Garcia""]"
