Unnamed: 0,tconst,ordering,nconst,category,job,characters
574966,tt0068284,10,nm0827063,cinematographer,director of photography,\N
574967,tt0068284,1,nm0551234,actor,\N,"[""Blacula"",""Mamuwalde""]"
574968,tt0068284,2,nm0569144,actress,\N,"[""Tina"",""Luva""]"
574969,tt0068284,3,nm0629370,actress,\N,"[""Michelle""]"
574970,tt0068284,4,nm0711560,actor,\N,"[""Gordon Thomas""]"
574971,tt0068284,5,nm0186091,director,\N,\N
574972,tt0068284,6,nm0868681,writer,screenplay,\N
574973,tt0068284,7,nm0462849,writer,screenplay,\N
574974,tt0068284,8,nm0618533,producer,producer,\N
574975,tt0068284,9,nm0656178,composer,\N,\N
575692,tt0068361,10,nm0346535,production_designer,\N,\N
575693,tt0068361,1,nm0721073,actor,\N,"[""Don Rafael Acosta""]"
575694,tt0068361,2,nm0786891,actress,\N,"[""Simone Th茅venot""]"
575695,tt0068361,3,nm0291289,actor,\N,"[""Fran莽ois Th茅venot""]"
575696,tt0068361,4,nm0644680,actress,\N,"[""Florence""]"
575697,tt0068361,5,nm0000320,director,\N,\N
575698,tt0068361,6,nm0140643,writer,with the collaboration of,\N
575699,tt0068361,7,nm0797889,producer,producer,\N
575700,tt0068361,8,nm0723788,cinematographer,director of photography,\N
575701,tt0068361,9,nm0687141,editor,\N,\N
577634,tt0068575,10,nm0843129,production_designer,\N,\N
577635,tt0068575,1,nm0005078,actor,\N,"[""Tully""]"
577636,tt0068575,2,nm0000313,actor,\N,"[""Ernie""]"
577637,tt0068575,3,nm0879073,actress,\N,"[""Oma""]"
577638,tt0068575,4,nm0163748,actress,\N,"[""Faye""]"
577639,tt0068575,5,nm0001379,director,\N,\N
577640,tt0068575,6,nm0307024,writer,screenplay,\N
577641,tt0068575,7,nm0823256,producer,producer,\N
577642,tt0068575,8,nm0005734,cinematographer,director of photography,\N
577643,tt0068575,9,nm0860828,editor,\N,\N
579684,tt0068805,1,nm0000197,actor,\N,"[""David Staebler""]"
