,tconst,ordering,nconst,category,job,characters
574972,tt0068284,6,nm0868681,writer,screenplay,\N
574973,tt0068284,7,nm0462849,writer,screenplay,\N
575698,tt0068361,6,nm0140643,writer,with the collaboration of,\N
577640,tt0068575,6,nm0307024,writer,screenplay,\N
579689,tt0068805,6,nm0102840,writer,screenplay,\N
611620,tt0072431,6,nm0791217,writer,"based on characters in the novel ""Frankenstein"" by",\N
661916,tt0078087,6,nm0733015,writer,story,\N
661917,tt0078087,7,nm0000626,writer,story,\N
682725,tt0080436,6,nm0918518,writer,story,\N
720803,tt0084732,6,nm0628058,writer,story,\N
790728,tt0092632,6,nm0174304,writer,"based on the book ""The Religion"" by",\N
790729,tt0092632,7,nm0004111,writer,screenplay by,\N
794360,tt0093036,6,nm0028892,writer,novel,\N
823919,tt0096378,6,nm0089634,writer,story by,\N
823920,tt0096378,7,nm0304665,writer,story by,\N
823921,tt0096378,8,nm0541632,writer,story by,\N
855962,tt0100029,6,nm0913027,writer,earlier screenplay,\N
856103,tt0100046,6,nm0179896,writer,\N,\N
904820,tt0105698,6,nm0745330,writer,written by,\N
904821,tt0105698,7,nm0500609,writer,written by,\N
904822,tt0105698,8,nm0002041,writer,written by,\N
992120,tt0116059,6,nm0500329,writer,written by,\N
992121,tt0116059,7,nm0438230,writer,written by,\N
997164,tt0116671,6,nm0656716,writer,story,\N
1031621,tt0120710,6,nm0939562,writer,"novel ""Doll's Eyes""",\N
1031622,tt0120710,7,nm0732430,writer,screenplay,\N
1461289,tt0185102,5,nm0203961,writer,written by,\N
1965578,tt0263757,6,nm0196932,writer,screenplay,\N
1965579,tt0263757,7,nm0644806,writer,screenplay,\N
1965580,tt0263757,8,nm0203183,writer,screenplay,\N
1965581,tt0263757,9,nm0414324,writer,story,\N
2002155,tt0269483,6,nm0613271,writer,written by,\N
2415153,tt0330843,6,nm0711745,writer,story & screenplay,\N
2415154,tt0330843,7,nm0347899,writer,dialogue,\N
2613430,tt0363276,6,nm0835075,writer,story,\N
3247178,tt0457510,6,nm1415801,writer,written by,\N
3247179,tt0457510,7,nm0925234,writer,written by,\N
3277549,tt0461936,6,nm0451311,writer,based on an original screenplay by,\N
3277550,tt0461936,7,nm0015287,writer,based on an original screenplay by,\N
6149517,tt0829176,6,nm0714199,writer,screenplay written by,\N
6757333,tt0910905,6,nm0472100,writer,screenplay,\N
6757334,tt0910905,7,nm1400959,writer,screenplay,\N
6757335,tt0910905,8,nm0121715,writer,"novel ""In the Electric Mist with Confederate Dead""",\N
6870591,tt0926063,6,nm1298090,writer,written by,\N
8547441,tt10344410,5,nm3986344,writer,based on the novel by,\N
11025296,tt11080108,6,nm5107819,writer,based on the short story by,\N
13626631,tt1185420,6,nm2101751,writer,dialogue script,\N
15994979,tt1265990,6,nm1867458,writer,written by,\N
16178843,tt1272886,6,nm2411346,writer,novel,\N
16526900,tt1285309,6,nm0227870,writer,story by,\N
16611420,tt12882620,7,nm7945190,writer,based on the Audible original written by,\N
19589096,tt1407084,6,nm0577332,writer,screenplay,\N
19589097,tt1407084,7,nm3393347,writer,novel,\N
19741639,tt1412386,6,nm0662530,writer,screenplay,\N
19741640,tt1412386,7,nm0595738,writer,"novel ""These Foolish Things""",\N
21928112,tt1483324,6,nm2773757,writer,written by,\N
24818433,tt1592873,6,nm4351467,writer,screenplay,\N
24818434,tt1592873,7,nm3610886,writer,"film ""LOL [Laughing Out Loud]庐""",\N
26612567,tt1709143,6,nm3773893,writer,short story,\N
26612568,tt1709143,7,nm0206092,writer,screenplay,\N
