,title_id,title,start_year,rating,votes
0,tt6313638,Duck the Halls: A Mickey Mouse Christmas Special,2016,8.0,219
1,tt0095107,Ernest Saves Christmas,1988,5.6,11430
2,tt2100546,Ice Age: A Mammoth Christmas,2011,6.4,10380
3,tt15716286,The Queen Family Singalong,2021,5.7,89
4,tt9735318,The Beatles: Get Back,2021,9.0,19978
5,tt10334438,Becoming Cousteau,2021,7.1,1019
6,tt16225950,Hawkeye,2021,7.6,133
7,tt15866468,Hawkeye,2021,7.8,275
8,tt10160804,Hawkeye,2021,7.6,159088
9,tt15222206,Adventure Thru the Walt Disney Archives,2020,7.9,66
10,tt13596276,Puppy for Hanukkah,2020,7.1,13
11,tt1059955,The Pixar Story,2007,7.7,6627
12,tt15476620,Ciao Alberto,2021,6.8,5975
13,tt0461770,Enchanted,2007,7.1,195689
14,tt4282670,Feast,2014,8.1,46
15,tt3689498,Feast,2014,8.2,23093
16,tt3720652,Feast,2014,7.7,1202
17,tt4686118,Feast,2014,8.1,8
18,tt4007502,Frozen Fever,2015,6.8,16044
19,tt4991108,Frozen Fever,2015,7.3,71
20,tt2980764,Get a Horse!,2013,7.5,5153
21,tt16117574,Home Sweet Home Alone,2021,7.8,12
22,tt11012066,Home Sweet Home Alone,2021,3.6,16262
23,tt0870154,Jungle Cruise,2021,6.6,178548
24,tt15463534,Jungle Cruise,2021,6.6,21
25,tt15165284,Jungle Cruise,2021,7.5,13
26,tt14772912,Jungle Cruise,2021,7.5,146
27,tt13367112,Obi-Wan Kenobi,2020,7.3,40
28,tt15475608,Olaf Presents,2021,7.2,2839
29,tt2388725,Paperman,2012,8.2,33342
30,tt16026492,Pixar 2021 Disney+ Day Special,2021,5.3,52
31,tt15740268,Spin,2021,7.8,14
32,tt12969826,Spin,2021,5.9,836
33,tt13681768,Spin,2021,9.2,12
34,tt2112281,Tangled Ever After,2012,7.6,17554
35,tt1827536,The Ballad of Nessie,2011,6.9,2056
36,tt0816562,The Little Matchgirl,2006,7.8,4735
37,tt16022750,The Making of Happier Than Ever: A Love Letter to Los Angeles,2021,7.4,70
38,tt15829632,The Simpsons in Plusaversary,2021,5.0,1158
39,tt15715890,Under the Helmet: The Legacy of Boba Fett,2021,7.2,1400
40,tt2846384,Alvin and the Chipmunks: Chipwrecked,2011,3.7,37
41,tt1615918,Alvin and the Chipmunks: Chipwrecked,2011,4.3,35053
42,tt3486392,Jingle All the Way 2,2014,3.8,2456
43,tt1079448,Snow Buddies,2008,5.0,4127
44,tt1336289,Space Buddies,2009,8.8,7
45,tt1164647,Space Buddies,2009,4.2,2749
46,tt1544572,The Search for Santa Paws,2010,5.3,2771
47,tt2015544,X-Men: First Class,2011,3.5,7
48,tt1270798,X-Men: First Class,2011,7.7,682026
49,tt1951704,X-Men: First Class,2011,5.5,13
50,tt3112268,X-Men: First Class,2011,6.7,9
51,tt7181320,Photo Ark,2017,8.2,61
52,tt15681488,Storm Rising,2021,7.8,70
53,tt15111904,Bob Ballard: An Explorer's Life,2020,6.8,25
54,tt2097298,"McFarland, USA",2015,7.4,38558
55,tt0394306,Rookie of the Year,1992,6.0,163
56,tt0107985,Rookie of the Year,1993,6.0,28116
57,tt0111419,Thumbelina,1994,6.2,17099
58,tt2020114,Thumbelina,1993,7.9,20
59,tt2575984,Thumbelina,1993,6.0,26
60,tt4148744,PJ Masks,2015,5.4,1232
61,tt14232200,The Wild Life of Dr. Ole,2021,8.5,21
62,tt12286434,Just Beyond,2021,6.1,1444
63,tt13528684,Secrets of the Zoo: North Carolina,2020,7.8,41
64,tt13897634,The Wizard of Paws,2020,9.3,37
65,tt15470224,Mickey's Tale of Two Witches,2021,6.7,99
66,tt14602326,Muppets Haunted Mansion,2021,6.4,6284
67,tt15534640,The Most Magical Story on Earth: 50 Years of Walt Disney World,2021,7.4,106
68,tt13464350,Under Wraps,2021,4.7,777
69,tt15428794,Among the Stars,2021,7.8,232
70,tt15044038,Black Widow,2021,7.9,36
71,tt15074206,Black Widow,2021,6.7,26
72,tt14960344,Black Widow,2021,7.8,391
73,tt3480822,Black Widow,2021,6.7,354407
74,tt14960220,Black Widow,2021,7.9,10
75,tt15027320,Black Widow,2021,8.0,17
76,tt12190130,Black Widow,2020,8.2,686
77,tt13984924,Fauci,2021,6.2,12361
78,tt10684374,The Ghost and Molly McGee,2021,7.2,869
79,tt0952640,Alvin and the Chipmunks,2007,5.2,84513
80,tt1086771,Alvin and the Chipmunks,2007,6.1,67
81,tt2974918,Alvin and the Chipmunks: The Road Chip,2015,4.9,19473
82,tt1587310,Maleficent,2014,6.9,369411
83,tt5290118,Maleficent,2014,7.8,14
84,tt3767708,Maleficent,2014,6.4,15
85,tt3264268,Maleficent,2013,6.9,13
86,tt4190954,Maleficent,2014,6.8,68
87,tt14539670,Disney's Magic Bake-Off,2021,5.8,67
88,tt0172049,Rolie Polie Olie,1998,6.3,2885
89,tt15058696,The Hatcher Family Dairy,2021,8.9,56
90,tt0096697,The Simpsons,1989,8.7,396307
91,tt11963126,A Spark Story,2021,6.5,133
92,tt1792131,Spooky Buddies,2011,4.5,2009
93,tt2582846,The Fault in Our Stars,2014,7.7,369754
94,tt7223494,The Fault in Our Stars,2014,8.0,6
95,tt4060620,The Fault in Our Stars,2014,7.3,66
96,tt10981266,Dog: Impossible,2019,7.6,123
97,tt13622982,Star Wars: Visions,2021,7.0,15910
98,tt1093908,Confessions of a Shopaholic,2009,5.8,78101
99,tt15286970,Flooded Tombs of the Nile,2021,6.5,90
100,tt15153954,Nona,2021,6.8,161
101,tt13324734,Nona,2020,6.8,26
102,tt15088994,Nona,2021,6.5,680
103,tt2479026,Life Below Zero,2012,7.4,42
104,tt17890420,Unknown Waters with Jeremy Wade,2021,8.6,15
105,tt1298650,Pirates of the Caribbean: On Stranger Tides,2011,6.6,516829
106,tt3107310,Pirates of the Caribbean: On Stranger Tides,2011,7.0,9
107,tt15138592,Twenty Something,2021,7.2,187
108,tt14023676,Twenty Something,2021,7.1,719
109,tt12225230,"Doogie Kamealoha, M.D.",2021,6.2,2023
110,tt9357248,"Mira, Royal Detective",2020,6.6,266
111,tt0128890,Pepper Ann,1997,7.1,3652
112,tt2136396,The Incredible Dr. Pol,2011,8.5,1653
113,tt15094392,Happier Than Ever: A Love Letter to Los Angeles,2021,7.2,1312
114,tt6565702,X-Men: Dark Phoenix,2019,5.7,181796
115,tt10975092,X-Men: Dark Phoenix,2019,7.3,47
116,tt13624054,Dug Days,2021,8.1,3712
117,tt14728174,Cruella,2021,6.4,10
118,tt14848554,Cruella,2021,6.7,21
119,tt14752382,Cruella,2021,7.9,17
120,tt3228774,Cruella,2021,7.3,221894
121,tt0480242,Dan in Real Life,2007,6.8,102431
122,tt14993556,Disney Princess Remixed - An Ultimate Princess Celebration,2021,5.0,66
123,tt3438640,Marvel One-Shot: All Hail the King,2014,7.3,10853
124,tt0467110,Underdog,2007,4.7,21576
