,title_id,title,start_year,rating,votes
0,tt15475200,Ricky Velez: Here's Everything,2021,6.6,209
1,tt9752248,Silent Night,2020,4.9,310
2,tt11083632,Silent Night,2019,8.6,767
3,tt6902332,The Marksman,2021,5.6,31941
4,tt11881160,Gaia,2021,5.6,4816
5,tt9373688,Settlers,2021,4.7,4798
6,tt11320192,The Evil Next Door,2020,5.2,1602
7,tt15191350,The Next Thing You Eat,2021,6.9,160
8,tt11780692,Queens,2020,7.2,41
9,tt12587834,Queens,2020,8.1,36
10,tt14040910,Queens,2021,6.1,1764
11,tt0348894,The Bachelorette,2003,3.3,5461
12,tt9883996,Dream Horse,2020,6.9,5010
13,tt15975098,Out of the Shadows: The Man Behind the Steele Dossier,2021,5.0,13
14,tt13556320,Wakefield,2021,7.5,1316
15,tt12797242,Home Sweet Home,2021,4.6,53
16,tt13278800,Home Sweet Home,2021,7.8,262
17,tt12772726,Home Sweet Home,2021,7.1,6276
18,tt9636630,Home Sweet Home,2020,4.8,706
19,tt15718232,Home Sweet Home,2021,8.4,293
20,tt10097384,Home Sweet Home,2021,5.4,329
21,tt14134242,Home Sweet Home,2021,8.1,25
22,tt2198333,America's Book of Secrets,2012,6.7,869
23,tt13354560,Beyond Oak Island,2020,6.0,221
24,tt1707374,Beyond Scared Straight,2011,7.2,1183
25,tt13122232,Cheer Camp Killer,2020,4.7,223
26,tt1497563,Hoarders,2009,6.4,3082
27,tt5690880,Little Women: Atlanta,2016,4.9,356
28,tt9854774,Marrying Millions,2019,4.9,195
29,tt4287464,Nightwatch,2015,8.7,957
30,tt6696750,Seven Year Switch,2016,4.0,10
31,tt4185370,Sleepwalker,2017,5.1,1073
32,tt1747551,Swamp People,2010,6.1,2413
33,tt5459372,Acapulco Shore,2014,2.9,140
34,tt10329614,Censor,2021,6.0,13965
35,tt14945600,Censor,2021,7.2,22
36,tt10448912,Dani Who?,2019,6.7,110
37,tt12528166,Out of Death,2021,3.2,4648
38,tt0497079,The Real Housewives of Orange County,2006,4.0,3746
39,tt0493405,CHIPS,2017,6.0,46602
40,tt9174558,Dopesick,2021,8.6,47361
41,tt9749020,Dopesick,2020,7.2,429
42,tt2401814,The Loneliest Whale: The Search for 52,2021,6.6,320
43,tt11464016,Gunda,2020,7.2,2246
44,tt11401452,Buried,2020,7.9,222
45,tt13616782,Buried,2021,7.4,254
46,tt15222012,Buried,2021,7.2,694
47,tt1583421,G.I. Joe: Retaliation,2013,5.7,180845
48,tt2378609,G.I. Joe: Retaliation,2012,8.0,5
49,tt13067292,Rogue Hostage,2021,3.3,2121
50,tt12198600,Roots Less Traveled,2020,8.2,19
51,tt1442550,Shark Tank,2009,7.7,9567
52,tt12287748,Yashahime: Princess Half-Demon,2020,7.1,972
53,tt11514252,Jacinta,2020,7.4,310
54,tt14778806,Baker's Dozen,2021,7.2,76
55,tt1219024,Castle,2009,8.1,159268
56,tt1459468,The Hills Presents: Speidi's Wedding Unveiled,2009,5.4,6
57,tt3471098,Maggie's Plan,2015,6.2,17126
58,tt3165092,Maggie's Plan,2014,8.0,31
59,tt11853200,The Bradshaw Bunch,2020,5.5,250
60,tt0107889,The Program,1993,6.4,10633
61,tt0250797,Unfaithful,2002,6.7,88565
62,tt0544130,Unfaithful,2002,8.2,14
63,tt4538916,Finding Your Feet,2017,6.7,6550
64,tt0072562,Saturday Night Live,1975,8.0,48099
65,tt0118571,Air Force One,1997,6.5,193586
66,tt0248667,Ali,2001,6.7,99094
67,tt0594807,Ali,2001,6.8,73
68,tt13346006,Asylum,2020,7.6,204
69,tt14521540,Asylum,2021,7.5,14
70,tt13116734,Big Sky,2020,8.1,86
71,tt11794642,Big Sky,2020,6.8,17316
72,tt0068309,Boxcar Bertha,1972,6.0,9561
73,tt7715988,Cake,2018,7.5,1148
74,tt10768172,Cake,2019,6.2,565
75,tt1477837,Cedar Rapids,2011,6.3,37983
76,tt0323572,Chasing Papi,2003,4.7,4185
77,tt0085346,Class,1983,5.9,10862
78,tt0109447,Clifford,1994,5.4,7717
79,tt0157472,Clockstoppers,2002,5.2,14223
80,tt0345061,Code 46,2003,6.1,20579
81,tt0112740,Crimson Tide,1995,7.3,111633
82,tt0092842,Dead of Winter,1987,6.2,4168
83,tt1650043,Diary of a Wimpy Kid: Rodrick Rules,2011,6.5,30823
84,tt3006472,Edge of the World,2021,5.3,2009
85,tt0079116,Escape from Alcatraz,1979,7.6,131757
86,tt0204313,Exorcist: The Beginning,2004,5.1,36783
87,tt0099582,Flatliners,1990,6.5,86196
88,tt0113189,GoldenEye,1995,7.2,254589
89,tt1038027,Happy Feet,2006,6.3,434
90,tt0893106,Happy Feet,2006,6.9,27
91,tt0366548,Happy Feet,2006,6.4,183236
92,tt1402488,Happy Feet Two,2011,5.8,44630
93,tt2203801,Happy Feet Two,2011,5.8,25
94,tt0093223,House of Games,1987,7.2,22374
95,tt0110146,Intersection,1994,5.3,8383
96,tt0172726,Light It Up,1999,6.0,3739
97,tt0079501,Mad Max,1979,6.8,204480
98,tt0363276,Madhouse,2004,5.4,6642
99,tt5752606,Maze,2017,5.9,3287
100,tt5752752,Maze,2016,5.9,21
101,tt0119738,My Best Friend's Wedding,1997,6.3,140761
102,tt1699755,Peeples,2013,5.3,4866
103,tt0238546,Queen of the Damned,2002,5.2,55812
104,tt0089901,Remo Williams: The Adventure Begins,1985,6.4,12522
105,tt1855325,Resident Evil: Retribution,2012,5.3,141093
106,tt0128445,Rushmore,1998,7.6,183490
107,tt0286106,Signs,2002,6.8,357899
108,tt0108160,Sleepless in Seattle,1993,6.8,173575
109,tt0706092,Snatch,1999,8.3,43
110,tt0208092,Snatch,2000,8.3,838681
111,tt0114508,Species,1995,5.8,79778
112,tt0120841,Species II,1998,4.4,29290
113,tt0410650,Species III,2004,4.2,9818
114,tt0844894,Species: The Awakening,2007,4.0,7105
115,tt0084726,Star Trek II: The Wrath of Khan,1982,7.7,120001
116,tt0088170,Star Trek III: The Search for Spock,1984,6.6,79943
117,tt0092007,Star Trek IV: The Voyage Home,1986,7.3,84661
118,tt3489248,Star Trek V: The Final Frontier,1989,6.5,21
119,tt0098382,Star Trek V: The Final Frontier,1989,5.4,59708
120,tt0102975,Star Trek VI: The Undiscovered Country,1991,7.2,75196
121,tt0111280,Star Trek: Generations,1994,6.6,81402
122,tt0120844,Star Trek: Insurrection,1998,6.4,74760
123,tt0253754,Star Trek: Nemesis,2002,6.4,78723
124,tt0079945,Star Trek: The Motion Picture,1979,6.4,89149
125,tt7053188,Station 19,2018,6.7,14121
126,tt0256415,Sweet Home Alabama,2002,6.2,112258
127,tt0428038,Sweet Land,2005,7.1,3939
128,tt0144096,The Extreme Adventures of Super Dave,2000,4.1,773
129,tt0457939,The Holiday,2006,6.9,281098
130,tt1392170,The Hunger Games,2012,7.2,900429
131,tt3116180,The Hunger Games,2012,6.0,7
132,tt2324161,The Hunger Games,2012,5.5,14
133,tt1951264,The Hunger Games: Catching Fire,2013,7.5,652768
134,tt0120746,The Mask of Zorro,1998,6.8,182057
135,tt0362359,The O.C.,2003,7.5,88029
136,tt0841032,The Perfect Holiday,2007,4.6,3119
137,tt0292506,The Recruit,2003,6.6,135470
138,tt0073629,The Rocky Horror Picture Show,1975,7.4,148236
139,tt0120053,The Saint,1997,6.2,67891
