,title_id,title,start_year,rating,votes
0,tt11394180,Dick Johnson Is Dead,2020,7.4,6452
1,tt9839146,Blood & Water,2020,6.6,3075
2,tt13278100,Ganglands,2021,7.0,2488
3,tt15320436,Jailbirds New Orleans,2021,6.6,210
4,tt10574558,Midnight Mass,2021,7.7,103802
5,tt15473632,Midnight Mass,2021,7.2,37
6,tt10101702,My Little Pony: A New Generation,2021,6.8,3554
7,tt0108041,Sankofa,1993,7.0,685
8,tt5164438,The Starling,2021,6.3,12308
9,tt14202282,Bangkok Breaking,2021,5.9,283
10,tt9205538,Je Suis Karl,2021,5.4,1077
11,tt15204288,Confessions of an Invisible Girl,2021,5.2,1001
12,tt14178956,Crime Stories: India Detectives,2021,7.1,967
13,tt13899904,Intrusion,2021,8.5,74
14,tt12273648,Intrusion,2020,5.8,13
15,tt5563324,Intrusion,2021,5.2,15740
16,tt11698590,Jaguar,2021,5.7,1738
17,tt15287836,Monsters Inside: The 24 Faces of Billy Milligan,2021,6.2,3322
18,tt15296598,Go! Go! Cory Carson: Chrissy Takes the Wheel,2021,6.7,37
19,tt0151121,Jeans,1998,6.4,3585
20,tt1375670,Grown Ups,2010,5.9,248176
21,tt2387433,Dark Skies,2013,6.3,75401
22,tt1904995,Paranoia,2012,5.2,36
23,tt1413495,Paranoia,2013,5.6,37299
24,tt15250998,Ankahi Kahaniya,2021,5.5,868
25,tt15125616,Chicago Party Aunt,2021,5.3,1461
26,tt15127466,Chicago Party Aunt,2021,6.3,88
27,tt7767422,Sex Education,2019,8.4,262312
28,tt15722052,Squid Game,2021,6.7,13
29,tt15661210,Squid Game,2021,6.5,22
30,tt10919420,Squid Game,2021,8.0,419830
31,tt8886670,The Father Who Moves Mountains,2021,5.5,3433
32,tt10404944,The Stronghold,2020,6.9,9698
33,tt8442656,Angry Birds,2018,7.3,58
34,tt2720826,Birth of the Dragon,2016,5.6,8187
35,tt7296984,Birth of the Dragon,2017,6.2,10
36,tt11465278,He-Man and the Masters of the Universe,2021,5.8,1649
37,tt0073195,Jaws,1975,8.1,585333
38,tt0077766,Jaws 2,1978,5.8,77400
39,tt0093300,Jaws: The Revenge,1987,3.0,45592
40,tt15084326,My Heroes Were Cowboys,2021,6.6,263
41,tt1599348,Safe House,2012,6.7,221176
42,tt12428002,The Smart Money Woman,2020,6.1,110
43,tt0139654,Training Day,2001,7.7,426364
44,tt6803712,Dharmakshetra,2014,8.3,273
45,tt0366621,InuYasha the Movie 2: The Castle Beyond the Looking Glass,2002,7.3,2136
46,tt0396659,InuYasha the Movie 3: Swords of an Honorable Ruler,2003,7.6,2211
47,tt1999167,Naruto Shippuden the Movie: Blood Prison,2011,7.1,5054
48,tt0791188,Naruto the Movie 2: Legend of the Stone of Gelel,2005,6.4,4332
49,tt1071815,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,2006,6.4,4004
50,tt0476680,Naruto the Movie: Ninja Clash in the Land of Snow,2004,6.6,6807
51,tt10521144,Nightbooks,2021,5.7,8415
52,tt10322274,Schumacher,2021,7.4,21981
53,tt4853764,Stories by Rabindranath Tagore,2015,8.7,1316
54,tt8329618,King of Boys,2018,5.8,415
55,tt14691382,The World's Most Amazing Vacation Rentals,2021,6.7,1296
56,tt15250050,You vs. Wild: Out Cold,2021,5.4,295
57,tt2942228,Yowamushi Pedal,2013,7.7,815
58,tt7737528,Kate,2021,6.2,58407
59,tt15939714,Kate,2021,6.7,6
60,tt11912564,Lucifer,2020,6.9,8
61,tt15216520,Metal Shop Masters,2021,5.6,554
62,tt15198608,Prey,2021,4.3,7198
63,tt12987396,Titipo Titipo,2019,6.8,20
64,tt15095938,Blood Brothers: Malcolm X & Muhammad Ali,2021,6.9,931
65,tt6127004,Paradise Hills,2019,5.3,22454
66,tt15216504,The Women and the Murderer,2021,6.4,1219
67,tt10919486,Into the Night,2020,7.1,31113
68,tt13964090,Into the Night,2021,8.3,13
69,tt9689672,Into the Night,2020,7.3,24
70,tt11062906,Into the Night,2020,7.1,15
71,tt15789514,Into the Night,2021,6.8,5
72,tt12299824,JJ+E,2021,5.3,1691
73,tt5691024,Show Dogs,2018,3.8,4704
74,tt9581768,The Circle,2020,7.3,6804
75,tt11761344,The Circle,2020,8.0,211
76,tt11080442,The Circle,2020,6.2,86
77,tt14599272,The Circle,2021,3.8,17
78,tt6214722,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,2018,7.8,1340
79,tt9248538,Kid Cosmic,2021,7.9,1385
80,tt15211330,Octonauts: Above & Beyond,2021,7.2,79
81,tt5540990,On the Verge,2021,6.4,2960
82,tt15101938,Untold: Breaking Point,2021,7.6,2454
83,tt15166116,Countdown: Inspiration4 Mission to Space,2021,7.9,1828
84,tt6167894,Angamaly Diaries,2017,7.9,6011
85,tt4738912,A Champion Heart,2018,5.9,400
86,tt13275052,Dive Club,2021,6.1,823
87,tt15384346,Money Heist: From Tokyo to Berlin,2021,7.7,853
88,tt12211696,Sharkdog,2021,6.1,143
89,tt8009744,Worth,2020,6.8,13522
90,tt11742798,Afterlife of the Party,2021,5.8,8512
91,tt0109134,Anjaam,1994,6.6,6505
92,tt0810784,Bright Star,2009,6.9,27441
93,tt12789212,Final Account,2020,7.1,987
94,tt4699202,Gurgaon,2017,6.5,2208
95,tt13896640,Here and There,2020,7.2,5
96,tt10220588,Hotel Del Luna,2019,8.2,8018
97,tt0199626,In the Cut,2003,5.3,24409
98,tt10140028,Q-Force,2021,6.4,5098
99,tt10930586,Shikara,2020,3.3,15066
100,tt0356470,A Cinderella Story,2004,5.9,86770
101,tt0350261,An Unfinished Life,2005,7.0,31065
102,tt17545256,Brave Animated Series,2021,6.8,5
103,tt4511046,Chappie,2015,7.3,41
104,tt1823672,Chappie,2015,6.8,247980
105,tt0109444,Clear and Present Danger,1994,6.9,98345
106,tt0106582,Cliffhanger,1993,6.5,128586
107,tt3687526,Cliffhanger,1993,5.4,21
108,tt0159365,Cold Mountain,2003,7.2,147756
109,tt0231402,Crocodile Dundee in Los Angeles,2001,4.8,24903
110,tt1582402,Dear John,2010,8.1,19
111,tt0989757,Dear John,2010,6.3,147667
112,tt0097216,Do the Right Thing,1989,7.9,100533
113,tt4157606,Extraction,2015,7.7,58
114,tt3304610,Extraction,2015,4.4,27
115,tt4382872,Extraction,2015,4.1,11288
116,tt0463998,Freedom Writers,2007,7.6,77935
117,tt1133985,Green Lantern,2011,5.5,282417
118,tt0695199,House Party,1990,7.5,359
119,tt0099800,House Party,1990,6.4,14916
120,tt0102065,House Party 2,1991,5.2,6580
121,tt0110064,House Party 3,1994,4.6,5284
122,tt0131436,I Got the Hook Up,1998,4.0,2281
123,tt0160401,In Too Deep,1999,6.2,6629
124,tt0439630,Initial D,2005,6.3,8619
125,tt4841640,Janoskians: Untold and Untrue,2015,3.7,161
126,tt7038964,Kid-E-Cats,2016,6.9,100
127,tt0091369,Labyrinth,1986,7.3,134658
128,tt0892318,Letters to Juliet,2010,6.5,99313
129,tt4006302,Level 16,2018,6.0,11445
130,tt0337592,Love Don't Cost a Thing,2003,5.1,8754
131,tt1602479,Love in a Puff,2010,7.1,2615
132,tt0116996,Mars Attacks!,1996,6.4,224704
133,tt5301662,Marshall,2017,7.2,23988
134,tt0270980,My Boss's Daughter,2003,4.7,29402
135,tt0282770,Mystery Men,1998,6.1,29
136,tt0132347,Mystery Men,1999,6.1,66980
137,tt0087843,Once Upon a Time in America,1984,8.3,344144
138,tt1982806,Open Season 2,2008,6.1,17
139,tt1107365,Open Season 2,2008,5.5,23943
140,tt0181739,Osmosis Jones,2001,6.3,35869
141,tt0409182,Poseidon,2006,5.7,103961
142,tt0120014,Rhyme & Reason,1997,7.4,883
143,tt1230168,Same Kind of Different as Me,2017,6.6,8132
144,tt0332379,School of Rock,2003,7.2,300520
145,tt5073746,Snervous Tyler Oakley,2015,5.4,473
146,tt0314353,Tears of the Sun,2003,6.6,121446
147,tt0080453,The Blue Lagoon,1980,5.8,69326
148,tt0091129,The Golden Child,1986,5.9,55971
149,tt2821370,The Interview,2013,8.8,7
150,tt3552864,The Interview,2014,7.8,9
151,tt3243356,The Interview,2013,9.2,14
152,tt3670986,The Interview,2014,5.6,51
153,tt2788710,The Interview,2014,6.5,326655
154,tt0117218,The Nutty Professor,1996,5.6,116359
155,tt15260794,Turning Point: 9/11 and the War on Terror,2021,8.0,9018
156,tt0107206,In the Line of Fire,1993,7.2,102409
157,tt14518756,Hometown Cha-Cha-Cha,2021,8.5,10410
158,tt15170710,The Ingenuity of the Househusband,2021,6.7,416
159,tt1077097,2 Alone in Paris,2008,5.4,2511
160,tt12912830,Bread Barbershop,2020,7.4,129
161,tt7285618,Wind River,2017,7.5,14
