,Unnamed: 0,title_id,title,start_year,rating,votes,genres
0,0,tt2319580,The Grand Seduction,2013,7.0,17682,Comedy
1,1,tt7071382,Take Care Good Night,2018,7.4,221,"Crime,Drama,Family"
2,2,tt5451640,Secrets of Deception,2017,4.2,301,"Action,Crime,Drama"
3,3,tt3021562,Pink: Staying True,2013,6.1,126,"Documentary,Music"
4,4,tt0097906,Monster Maker,1989,6.9,124,"Comedy,Family,Fantasy"
5,5,tt4026034,Hired Gun,2016,7.2,2029,"Documentary,Music"
6,6,tt4366830,Grease Live!,2016,7.3,9400,"Comedy,Musical,Romance"
7,7,tt7108074,Global Meltdown,2017,3.2,610,"Action,Adventure,Drama"
8,8,tt0109557,David's Mother,1994,6.3,330,Drama
9,9,tt4742274,Forest Fairies,2015,6.4,103,"Adventure,Family,Fantasy"
10,10,tt3120054,Take Care,2014,6.0,3112,"Comedy,Drama,Romance"
11,11,tt9219848,Elon Musk: The Real Life Iron Man,2018,6.3,542,"Biography,Documentary"
12,12,tt7284204,Summer '03,2018,5.5,3403,"Comedy,Drama,Romance"
13,13,tt5340882,Zoombies,2016,3.3,2660,"Action,Adventure,Comedy"
14,14,tt13514442,Zoë Coombs Marr: Bossy Bottom,2020,6.1,8,Comedy
15,15,tt7010632,Zoe,2017,5.4,8,"Horror,Short"
16,16,tt6010628,Zoe,2018,6.0,9039,"Romance,Sci-Fi"
17,17,tt11915046,ZeroZeroZero,2020,8.0,28,Talk-Show
18,18,tt8332438,ZeroZeroZero,2019,8.2,24107,"Crime,Drama,Thriller"
19,19,tt0101004,Zandalee,1991,4.3,3797,"Drama,Romance,Thriller"
20,20,tt10630986,Zahara: The Return,2020,8.2,27,"Fantasy,Horror,Romance"
21,21,tt3042086,Your Bleeped Up Brain,2013,7.7,102,Documentary
22,22,tt0303575,Young Lions,2002,6.4,144,"Crime,Drama"
23,23,tt1198156,You're Not You,2014,7.3,25480,Drama
24,24,tt4928814,"You, Me and Him",2017,6.0,2985,Comedy
25,25,tt13321268,Yearly Departed,2020,5.6,1212,Comedy
26,26,tt0258382,Xchange,2000,5.5,8,Family
