,Unnamed: 0,title_id,title,start_year,rating,votes,genres
0,0,tt6313638,Duck the Halls: A Mickey Mouse Christmas Special,2016,8.0,219,"Adventure,Animation,Comedy"
1,1,tt0095107,Ernest Saves Christmas,1988,5.6,11430,"Comedy,Family,Fantasy"
2,2,tt2100546,Ice Age: A Mammoth Christmas,2011,6.4,10380,"Adventure,Animation,Comedy"
3,3,tt15716286,The Queen Family Singalong,2021,5.7,89,"Music,Musical"
4,4,tt9735318,The Beatles: Get Back,2021,9.0,19978,"Biography,Documentary,Music"
5,5,tt10334438,Becoming Cousteau,2021,7.1,1019,"Adventure,Biography,Documentary"
6,6,tt16225950,Hawkeye,2021,7.6,133,Talk-Show
7,7,tt15866468,Hawkeye,2021,7.8,275,"Action,Fantasy,Sci-Fi"
8,8,tt10160804,Hawkeye,2021,7.6,159088,"Action,Adventure,Crime"
9,9,tt15222206,Adventure Thru the Walt Disney Archives,2020,7.9,66,Documentary
10,10,tt13596276,Puppy for Hanukkah,2020,7.1,13,"Music,Short"
11,11,tt1059955,The Pixar Story,2007,7.7,6627,Documentary
12,12,tt15476620,Ciao Alberto,2021,6.8,5975,"Animation,Comedy,Family"
13,13,tt0461770,Enchanted,2007,7.1,195689,"Adventure,Animation,Comedy"
14,14,tt4282670,Feast,2014,8.1,46,Horror
15,15,tt3689498,Feast,2014,8.2,23093,"Animation,Comedy,Drama"
16,16,tt3720652,Feast,2014,7.7,1202,"Action,Adventure,Drama"
17,17,tt4686118,Feast,2014,8.1,8,Documentary
18,18,tt4007502,Frozen Fever,2015,6.8,16044,"Adventure,Animation,Comedy"
19,19,tt4991108,Frozen Fever,2015,7.3,71,Comedy
20,20,tt2980764,Get a Horse!,2013,7.5,5153,"Animation,Comedy,Family"
21,21,tt16117574,Home Sweet Home Alone,2021,7.8,12,Comedy
22,22,tt11012066,Home Sweet Home Alone,2021,3.6,16262,"Comedy,Crime,Family"
23,23,tt0870154,Jungle Cruise,2021,6.6,178548,"Action,Adventure,Comedy"
24,24,tt15463534,Jungle Cruise,2021,6.6,21,Comedy
25,25,tt15165284,Jungle Cruise,2021,7.5,13,Comedy
26,26,tt14772912,Jungle Cruise,2021,7.5,146,Documentary
27,27,tt13367112,Obi-Wan Kenobi,2020,7.3,40,"Action,Adventure,Animation"
