,Unnamed: 0,title_id,title,start_year,rating,votes,genres
0,0,tt15475200,Ricky Velez: Here's Everything,2021,6.6,209,Comedy
1,1,tt9752248,Silent Night,2020,4.9,310,"Crime,Thriller"
2,2,tt11083632,Silent Night,2019,8.6,767,"Crime,Drama,Mystery"
3,3,tt6902332,The Marksman,2021,5.6,31941,"Action,Adventure,Drama"
4,4,tt11881160,Gaia,2021,5.6,4816,"Drama,Fantasy,Horror"
5,5,tt9373688,Settlers,2021,4.7,4798,"Drama,Sci-Fi,Thriller"
6,6,tt11320192,The Evil Next Door,2020,5.2,1602,"Horror,Mystery,Thriller"
7,7,tt15191350,The Next Thing You Eat,2021,6.9,160,Documentary
8,8,tt11780692,Queens,2020,7.2,41,"Comedy,Game-Show"
9,9,tt12587834,Queens,2020,8.1,36,"Animation,Family"
10,10,tt14040910,Queens,2021,6.1,1764,"Drama,Music"
11,11,tt0348894,The Bachelorette,2003,3.3,5461,"Drama,Game-Show,Reality-TV"
12,12,tt9883996,Dream Horse,2020,6.9,5010,"Biography,Comedy,Drama"
13,13,tt15975098,Out of the Shadows: The Man Behind the Steele Dossier,2021,5.0,13,Documentary
14,14,tt13556320,Wakefield,2021,7.5,1316,Mystery
15,15,tt12797242,Home Sweet Home,2021,4.6,53,Reality-TV
16,16,tt13278800,Home Sweet Home,2021,7.8,262,"Crime,Drama"
17,17,tt12772726,Home Sweet Home,2021,7.1,6276,"Drama,Horror,Thriller"
18,18,tt9636630,Home Sweet Home,2020,4.8,706,"Comedy,Drama,Romance"
19,19,tt15718232,Home Sweet Home,2021,8.4,293,"Action,Adventure,Animation"
20,20,tt10097384,Home Sweet Home,2021,5.4,329,"Drama,Mystery,Thriller"
21,21,tt14134242,Home Sweet Home,2021,8.1,25,Talk-Show
22,22,tt2198333,America's Book of Secrets,2012,6.7,869,Documentary
23,23,tt13354560,Beyond Oak Island,2020,6.0,221,"Documentary,Reality-TV"
24,24,tt1707374,Beyond Scared Straight,2011,7.2,1183,"Crime,Reality-TV"
25,25,tt13122232,Cheer Camp Killer,2020,4.7,223,"Drama,Thriller"
26,26,tt1497563,Hoarders,2009,6.4,3082,Documentary
27,27,tt5690880,Little Women: Atlanta,2016,4.9,356,Reality-TV
28,28,tt9854774,Marrying Millions,2019,4.9,195,Reality-TV
29,29,tt4287464,Nightwatch,2015,8.7,957,Reality-TV
30,30,tt6696750,Seven Year Switch,2016,4.0,10,\N
31,31,tt4185370,Sleepwalker,2017,5.1,1073,Thriller
