,Unnamed: 0,title_id,title,start_year,rating,votes,genres
0,0,tt11394180,Dick Johnson Is Dead,2020,7.4,6452,"Biography,Documentary,Drama"
1,1,tt9839146,Blood & Water,2020,6.6,3075,"Drama,Mystery"
2,2,tt13278100,Ganglands,2021,7.0,2488,"Action,Crime,Drama"
3,3,tt15320436,Jailbirds New Orleans,2021,6.6,210,"Documentary,Reality-TV"
4,4,tt10574558,Midnight Mass,2021,7.7,103802,"Drama,Fantasy,Horror"
5,5,tt15473632,Midnight Mass,2021,7.2,37,Talk-Show
6,6,tt10101702,My Little Pony: A New Generation,2021,6.8,3554,"Adventure,Animation,Comedy"
7,7,tt0108041,Sankofa,1993,7.0,685,Drama
8,8,tt5164438,The Starling,2021,6.3,12308,"Comedy,Drama"
9,9,tt14202282,Bangkok Breaking,2021,5.9,283,"Action,Crime,Drama"
10,10,tt9205538,Je Suis Karl,2021,5.4,1077,"Drama,Romance,Thriller"
11,11,tt15204288,Confessions of an Invisible Girl,2021,5.2,1001,"Comedy,Drama"
12,12,tt14178956,Crime Stories: India Detectives,2021,7.1,967,"Crime,Documentary,Mystery"
13,13,tt13899904,Intrusion,2021,8.5,74,"Action,Animation,Fantasy"
14,14,tt12273648,Intrusion,2020,5.8,13,"Horror,Short"
15,15,tt5563324,Intrusion,2021,5.2,15740,"Drama,Thriller"
16,16,tt11698590,Jaguar,2021,5.7,1738,"Action,Drama,History"
17,17,tt15287836,Monsters Inside: The 24 Faces of Billy Milligan,2021,6.2,3322,"Crime,Documentary"
18,18,tt15296598,Go! Go! Cory Carson: Chrissy Takes the Wheel,2021,6.7,37,"Animation,Family"
19,19,tt0151121,Jeans,1998,6.4,3585,"Comedy,Drama,Romance"
20,20,tt1375670,Grown Ups,2010,5.9,248176,Comedy
21,21,tt2387433,Dark Skies,2013,6.3,75401,"Horror,Sci-Fi,Thriller"
22,22,tt1904995,Paranoia,2012,5.2,36,Thriller
23,23,tt1413495,Paranoia,2013,5.6,37299,"Drama,Thriller"
24,24,tt15250998,Ankahi Kahaniya,2021,5.5,868,"Drama,Romance"
25,25,tt15125616,Chicago Party Aunt,2021,5.3,1461,"Animation,Comedy"
26,26,tt15127466,Chicago Party Aunt,2021,6.3,88,"Animation,Comedy"
27,27,tt7767422,Sex Education,2019,8.4,262312,"Comedy,Drama"
28,28,tt15722052,Squid Game,2021,6.7,13,Comedy
29,29,tt15661210,Squid Game,2021,6.5,22,Comedy
30,30,tt10919420,Squid Game,2021,8.0,419830,"Action,Drama,Mystery"
31,31,tt8886670,The Father Who Moves Mountains,2021,5.5,3433,"Drama,Thriller"
32,32,tt10404944,The Stronghold,2020,6.9,9698,"Action,Crime,Thriller"
33,33,tt8442656,Angry Birds,2018,7.3,58,"Comedy,Fantasy"
34,34,tt2720826,Birth of the Dragon,2016,5.6,8187,"Action,Biography,Drama"
35,35,tt7296984,Birth of the Dragon,2017,6.2,10,"Comedy,Talk-Show"
36,36,tt11465278,He-Man and the Masters of the Universe,2021,5.8,1649,"Action,Adventure,Animation"
37,37,tt0073195,Jaws,1975,8.1,585333,"Adventure,Thriller"
38,38,tt0077766,Jaws 2,1978,5.8,77400,"Adventure,Horror,Thriller"
39,39,tt0093300,Jaws: The Revenge,1987,3.0,45592,"Adventure,Horror,Thriller"
40,40,tt15084326,My Heroes Were Cowboys,2021,6.6,263,"Documentary,Short"
41,41,tt1599348,Safe House,2012,6.7,221176,"Action,Thriller"
42,42,tt12428002,The Smart Money Woman,2020,6.1,110,Drama
43,43,tt0139654,Training Day,2001,7.7,426364,"Action,Crime,Drama"
44,44,tt6803712,Dharmakshetra,2014,8.3,273,Drama
45,45,tt0366621,InuYasha the Movie 2: The Castle Beyond the Looking Glass,2002,7.3,2136,"Action,Animation,Comedy"
46,46,tt0396659,InuYasha the Movie 3: Swords of an Honorable Ruler,2003,7.6,2211,"Action,Adventure,Animation"
47,47,tt1999167,Naruto Shippuden the Movie: Blood Prison,2011,7.1,5054,"Action,Animation,Fantasy"
48,48,tt0791188,Naruto the Movie 2: Legend of the Stone of Gelel,2005,6.4,4332,"Action,Adventure,Animation"
49,49,tt1071815,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,2006,6.4,4004,"Action,Adventure,Animation"
50,50,tt0476680,Naruto the Movie: Ninja Clash in the Land of Snow,2004,6.6,6807,"Action,Adventure,Animation"
51,51,tt10521144,Nightbooks,2021,5.7,8415,"Family,Fantasy,Horror"
52,52,tt10322274,Schumacher,2021,7.4,21981,"Biography,Documentary,Sport"
53,53,tt4853764,Stories by Rabindranath Tagore,2015,8.7,1316,Drama
54,54,tt8329618,King of Boys,2018,5.8,415,"Crime,Drama"
55,55,tt14691382,The World's Most Amazing Vacation Rentals,2021,6.7,1296,Reality-TV
56,56,tt15250050,You vs. Wild: Out Cold,2021,5.4,295,"Adventure,Short"
57,57,tt2942228,Yowamushi Pedal,2013,7.7,815,"Animation,Comedy,Drama"
58,58,tt7737528,Kate,2021,6.2,58407,"Action,Adventure,Crime"
59,59,tt15939714,Kate,2021,6.7,6,Documentary
60,60,tt11912564,Lucifer,2020,6.9,8,Crime
61,61,tt15216520,Metal Shop Masters,2021,5.6,554,"Game-Show,Reality-TV"
62,62,tt15198608,Prey,2021,4.3,7198,"Adventure,Drama,Thriller"
63,63,tt12987396,Titipo Titipo,2019,6.8,20,Animation
64,64,tt15095938,Blood Brothers: Malcolm X & Muhammad Ali,2021,6.9,931,"Biography,Documentary,History"
65,65,tt6127004,Paradise Hills,2019,5.3,22454,"Fantasy,Mystery,Sci-Fi"
66,66,tt15216504,The Women and the Murderer,2021,6.4,1219,"Crime,Documentary"
67,67,tt10919486,Into the Night,2020,7.1,31113,"Drama,Sci-Fi,Thriller"
68,68,tt13964090,Into the Night,2021,8.3,13,"Crime,Drama"
69,69,tt9689672,Into the Night,2020,7.3,24,"Comedy,Drama"
70,70,tt11062906,Into the Night,2020,7.1,15,"Drama,Short"
71,71,tt15789514,Into the Night,2021,6.8,5,Adventure
72,72,tt12299824,JJ+E,2021,5.3,1691,"Drama,Romance"
73,73,tt5691024,Show Dogs,2018,3.8,4704,"Adventure,Comedy,Crime"
74,74,tt9581768,The Circle,2020,7.3,6804,"Game-Show,Reality-TV"
75,75,tt11761344,The Circle,2020,8.0,211,"Action,Crime,Drama"
76,76,tt11080442,The Circle,2020,6.2,86,Documentary
77,77,tt14599272,The Circle,2021,3.8,17,Talk-Show
78,78,tt6214722,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,2018,7.8,1340,"Biography,Documentary,Music"
79,79,tt9248538,Kid Cosmic,2021,7.9,1385,"Action,Adventure,Animation"
80,80,tt15211330,Octonauts: Above & Beyond,2021,7.2,79,"Animation,Family"
81,81,tt5540990,On the Verge,2021,6.4,2960,Comedy
82,82,tt15101938,Untold: Breaking Point,2021,7.6,2454,"Documentary,Sport"
83,83,tt15166116,Countdown: Inspiration4 Mission to Space,2021,7.9,1828,Documentary
84,84,tt6167894,Angamaly Diaries,2017,7.9,6011,"Action,Comedy,Thriller"
85,85,tt4738912,A Champion Heart,2018,5.9,400,Family
86,86,tt13275052,Dive Club,2021,6.1,823,"Adventure,Drama,Family"
87,87,tt15384346,Money Heist: From Tokyo to Berlin,2021,7.7,853,Documentary
88,88,tt12211696,Sharkdog,2021,6.1,143,"Adventure,Animation,Comedy"
89,89,tt8009744,Worth,2020,6.8,13522,"Biography,Drama,History"
90,90,tt11742798,Afterlife of the Party,2021,5.8,8512,"Comedy,Drama,Fantasy"
91,91,tt0109134,Anjaam,1994,6.6,6505,"Drama,Thriller"
92,92,tt0810784,Bright Star,2009,6.9,27441,"Biography,Drama,Romance"
93,93,tt12789212,Final Account,2020,7.1,987,Documentary
94,94,tt4699202,Gurgaon,2017,6.5,2208,"Crime,Thriller"
95,95,tt13896640,Here and There,2020,7.2,5,Short
96,96,tt10220588,Hotel Del Luna,2019,8.2,8018,"Action,Comedy,Drama"
97,97,tt0199626,In the Cut,2003,5.3,24409,"Mystery,Thriller"
98,98,tt10140028,Q-Force,2021,6.4,5098,"Action,Adventure,Animation"
99,99,tt10930586,Shikara,2020,3.3,15066,"Drama,History,Romance"
100,100,tt0356470,A Cinderella Story,2004,5.9,86770,"Comedy,Family,Romance"
101,101,tt0350261,An Unfinished Life,2005,7.0,31065,"Drama,Family,Romance"
102,102,tt17545256,Brave Animated Series,2021,6.8,5,Animation
103,103,tt4511046,Chappie,2015,7.3,41,"Comedy,Talk-Show"
104,104,tt1823672,Chappie,2015,6.8,247980,"Action,Crime,Drama"
105,105,tt0109444,Clear and Present Danger,1994,6.9,98345,"Action,Crime,Drama"
106,106,tt0106582,Cliffhanger,1993,6.5,128586,"Action,Adventure,Thriller"
107,107,tt3687526,Cliffhanger,1993,5.4,21,Action
108,108,tt0159365,Cold Mountain,2003,7.2,147756,"Adventure,Drama,History"
109,109,tt0231402,Crocodile Dundee in Los Angeles,2001,4.8,24903,"Action,Adventure,Comedy"
110,110,tt1582402,Dear John,2010,8.1,19,"Drama,Horror,Short"
111,111,tt0989757,Dear John,2010,6.3,147667,"Drama,Mystery,Romance"
112,112,tt0097216,Do the Right Thing,1989,7.9,100533,"Comedy,Drama"
113,113,tt4157606,Extraction,2015,7.7,58,"Action,Adventure,Animation"
114,114,tt3304610,Extraction,2015,4.4,27,"Action,Crime,Thriller"
115,115,tt4382872,Extraction,2015,4.1,11288,"Action,Thriller"
116,116,tt0463998,Freedom Writers,2007,7.6,77935,"Biography,Crime,Drama"
117,117,tt1133985,Green Lantern,2011,5.5,282417,"Action,Adventure,Sci-Fi"
118,118,tt0695199,House Party,1990,7.5,359,"Comedy,Family,Romance"
119,119,tt0099800,House Party,1990,6.4,14916,"Comedy,Music,Romance"
120,120,tt0102065,House Party 2,1991,5.2,6580,"Comedy,Drama,Music"
121,121,tt0110064,House Party 3,1994,4.6,5284,"Comedy,Music,Romance"
122,122,tt0131436,I Got the Hook Up,1998,4.0,2281,Comedy
123,123,tt0160401,In Too Deep,1999,6.2,6629,"Crime,Drama,Thriller"
124,124,tt0439630,Initial D,2005,6.3,8619,"Action,Comedy,Drama"
125,125,tt4841640,Janoskians: Untold and Untrue,2015,3.7,161,Comedy
126,126,tt7038964,Kid-E-Cats,2016,6.9,100,"Adventure,Animation,Comedy"
127,127,tt0091369,Labyrinth,1986,7.3,134658,"Adventure,Family,Fantasy"
128,128,tt0892318,Letters to Juliet,2010,6.5,99313,"Adventure,Comedy,Drama"
129,129,tt4006302,Level 16,2018,6.0,11445,"Drama,Sci-Fi,Thriller"
130,130,tt0337592,Love Don't Cost a Thing,2003,5.1,8754,"Comedy,Drama,Romance"
131,131,tt1602479,Love in a Puff,2010,7.1,2615,"Comedy,Drama,Romance"
132,132,tt0116996,Mars Attacks!,1996,6.4,224704,"Comedy,Sci-Fi"
133,133,tt5301662,Marshall,2017,7.2,23988,"Biography,Crime,Drama"
134,134,tt0270980,My Boss's Daughter,2003,4.7,29402,"Comedy,Romance"
135,135,tt0282770,Mystery Men,1998,6.1,29,Adult
136,136,tt0132347,Mystery Men,1999,6.1,66980,"Action,Comedy,Fantasy"
137,137,tt0087843,Once Upon a Time in America,1984,8.3,344144,"Crime,Drama"
138,138,tt1982806,Open Season 2,2008,6.1,17,"Action,Comedy,Family"
139,139,tt1107365,Open Season 2,2008,5.5,23943,"Adventure,Animation,Comedy"
140,140,tt0181739,Osmosis Jones,2001,6.3,35869,"Action,Adventure,Animation"
141,141,tt0409182,Poseidon,2006,5.7,103961,"Action,Adventure,Thriller"
142,142,tt0120014,Rhyme & Reason,1997,7.4,883,"Documentary,Music"
143,143,tt1230168,Same Kind of Different as Me,2017,6.6,8132,"Biography,Drama"
144,144,tt0332379,School of Rock,2003,7.2,300520,"Comedy,Music"
145,145,tt5073746,Snervous Tyler Oakley,2015,5.4,473,Documentary
146,146,tt0314353,Tears of the Sun,2003,6.6,121446,"Action,Drama,Thriller"
147,147,tt0080453,The Blue Lagoon,1980,5.8,69326,"Adventure,Drama,Romance"
148,148,tt0091129,The Golden Child,1986,5.9,55971,"Action,Adventure,Comedy"
149,149,tt2821370,The Interview,2013,8.8,7,"Comedy,Short"
150,150,tt3552864,The Interview,2014,7.8,9,"Drama,Short"
151,151,tt3243356,The Interview,2013,9.2,14,"Drama,Short"
152,152,tt3670986,The Interview,2014,5.6,51,Comedy
153,153,tt2788710,The Interview,2014,6.5,326655,"Action,Adventure,Comedy"
154,154,tt0117218,The Nutty Professor,1996,5.6,116359,"Comedy,Romance,Sci-Fi"
155,155,tt15260794,Turning Point: 9/11 and the War on Terror,2021,8.0,9018,"Documentary,History,War"
156,156,tt0107206,In the Line of Fire,1993,7.2,102409,"Action,Crime,Drama"
157,157,tt14518756,Hometown Cha-Cha-Cha,2021,8.5,10410,"Comedy,Romance"
158,158,tt15170710,The Ingenuity of the Househusband,2021,6.7,416,"Comedy,Short"
159,159,tt1077097,2 Alone in Paris,2008,5.4,2511,Comedy
160,160,tt12912830,Bread Barbershop,2020,7.4,129,Animation
161,161,tt7285618,Wind River,2017,7.5,14,"Comedy,Talk-Show"
162,162,tt5362988,Wind River,2017,7.7,244457,"Crime,Drama,Mystery"
163,163,tt1170399,C Kkompany,2008,5.5,1126,"Comedy,Drama,Thriller"
164,164,tt13024974,D.P.,2021,8.2,4856,"Action,Crime,Drama"
165,165,tt1221133,EMI: Liya Hai To Chukana Padega,2008,4.4,607,"Comedy,Crime,Drama"
166,166,tt15299690,He's All That,2021,4.4,28,Talk-Show
167,167,tt13751434,He's All That,2021,7.6,13,"Comedy,Family"
168,168,tt4590256,He's All That,2021,4.3,23785,"Comedy,Romance"
169,169,tt13573450,I Heart Arlo,2021,6.9,211,"Adventure,Animation,Comedy"
170,170,tt15192042,King of Boys: The Return of the King,2021,5.8,251,"Crime,Drama"
171,171,tt0408976,Krishna Cottage,2004,5.1,1168,"Horror,Mystery,Romance"
172,172,tt0348662,Kucch To Hai,2003,4.3,915,"Horror,Mystery"
173,173,tt0456500,Kyaa Kool Hai Hum,2005,6.1,3525,"Comedy,Mystery"
174,174,tt5290620,Kyaa Kool Hain Hum 3,2016,1.9,4347,Comedy
175,175,tt2027138,Kyaa Super Kool Hain Hum,2012,5.0,3915,Comedy
176,176,tt0297241,Kyo Kii... Main Jhuth Nahin Bolta,2001,5.3,2217,"Action,Comedy,Drama"
177,177,tt1608777,"LSD: Love, Sex Aur Dhokha",2010,7.2,5671,"Comedy,Crime,Drama"
178,178,tt1395054,Once Upon a Time in Mumbaai,2010,7.4,17584,"Action,Crime,Drama"
179,179,tt1890513,Ragini MMS,2011,5.1,2646,"Drama,Horror,Mystery"
180,180,tt2609218,Ragini MMS 2,2014,3.9,2893,Horror
181,181,tt4699982,Rebellion,2016,7.1,3767,"Drama,History,War"
182,182,tt5832978,Rebellion,2016,7.6,115,"Action,Documentary,Drama"
183,183,tt0811066,Shootout at Lokhandwala,2007,7.1,10181,"Action,Crime,History"
184,184,tt1954206,The Dirty Picture,2011,6.6,9630,"Biography,Comedy,Drama"
185,185,tt15192032,Titletown High,2021,5.5,325,"Reality-TV,Sport"
186,186,tt11595836,Family Reunion,2020,7.2,9,Reality-TV
187,187,tt11516504,Family Reunion,2020,8.8,7,"Comedy,Drama,Family"
188,188,tt14539744,"Bob Ross: Happy Accidents, Betrayal & Greed",2021,6.9,5797,Documentary
189,189,tt10888878,Clickbait,2021,7.2,50595,"Crime,Drama,Mystery"
190,190,tt14164176,Clickbait,2020,6.9,9,Drama
191,191,tt15233856,John of God: The Crimes of a Spiritual Healer,2021,6.5,802,"Crime,Documentary"
192,192,tt15128558,Motel Makeover,2021,4.9,706,Reality-TV
193,193,tt8849428,Open Your Eyes,2020,7.1,278,"Adventure,Drama,Fantasy"
194,194,tt13495314,Open Your Eyes,2021,6.5,1444,"Drama,Mystery,Sci-Fi"
195,195,tt11487298,Open Your Eyes,2020,7.9,8,Documentary
196,196,tt12492264,Open Your Eyes,2021,4.2,172,"Drama,Horror,Mystery"
197,197,tt13053222,Post Mortem: No One Dies in Skarnes,2021,7.1,3281,"Comedy,Drama,Thriller"
198,198,tt8722624,Really Love,2020,6.0,825,"Drama,Romance"
199,199,tt2402157,The November Man,2014,6.2,67583,"Action,Thriller"
200,200,tt12829958,The Old Ways,2020,5.4,5864,"Drama,Fantasy,Horror"
201,201,tt12278956,The Old Ways,2020,8.8,8,"Adventure,Short"
202,202,tt15293256,The River Runner,2021,6.9,1641,Documentary
203,203,tt4779326,The Water Man,2020,5.4,3842,"Adventure,Drama,Family"
204,204,tt6889042,Count Me In,2021,6.8,1779,"Documentary,Music"
205,205,tt10403144,Count Me In,2020,7.6,20,Comedy
206,206,tt15101946,Untold: Caitlyn Jenner,2021,6.4,2427,"Documentary,Sport"
207,207,tt11073148,Boomika,2021,5.5,2537,Horror
208,208,tt11657662,The Witcher: Nightmare of the Wolf,2021,7.2,42111,"Action,Adventure,Animation"
209,209,tt14167428,Comedy Premium League,2021,4.7,1513,Comedy
210,210,tt15101964,Everything Will Be Fine,2021,6.2,339,"Comedy,Drama"
211,211,tt15263980,Everything Will Be Fine,2021,6.2,19,"Comedy,Drama"
212,212,tt8098636,Gunshot,2018,6.8,613,"Crime,Drama,Mystery"
213,213,tt15772846,Korean Cold Noodle Rhapsody,2021,7.6,22,Documentary
214,214,tt14428606,Man in Love,2021,6.9,1705,"Drama,Romance"
215,215,tt10731768,Sweet Girl,2021,5.5,30880,"Action,Drama,Thriller"
216,216,tt12109530,The Chair,2021,7.6,83,"Comedy,Fantasy"
217,217,tt15241492,The Chair,2021,8.2,19,Talk-Show
218,218,tt11834150,The Chair,2021,7.2,16142,"Comedy,Drama"
219,219,tt13514644,The Chair,2020,9.1,7,"Drama,Musical,Short"
220,220,tt11834184,The Chair,2021,7.6,450,"Comedy,Drama"
221,221,tt6714432,The Loud House Movie,2021,6.2,1940,"Adventure,Animation,Comedy"
222,222,tt1758692,Like Crazy,2011,6.6,61548,"Drama,Romance"
223,223,tt12881516,Black Island,2021,5.2,2727,"Drama,Mystery,Thriller"
224,224,tt0112553,Bombay,1995,8.1,12564,"Drama,Romance"
225,225,tt1579366,Bombay,1995,7.7,13,Documentary
226,226,tt8115702,Go! Go! Cory Carson,2020,7.9,242,"Adventure,Animation,Comedy"
227,227,tt15085784,Memories of a Murderer: The Nilsen Tapes,2021,6.3,3245,"Biography,Crime,Documentary"
228,228,tt8879894,The Defeated,2020,7.0,5774,"Drama,Thriller"
229,229,tt11594766,The Secret Diary of an Exchange Student,2021,5.3,881,"Comedy,Romance"
230,230,tt2846232,Walk of Shame,2013,7.8,163,"Comedy,Drama"
231,231,tt2714418,Walk of Shame,2013,6.9,11,Comedy
232,232,tt2463288,Walk of Shame,2014,6.0,54380,Comedy
233,233,tt8993398,Rascal Does Not Dream of Bunny Girl Senpai,2018,8.1,10649,"Animation,Drama,Fantasy"
234,234,tt0107822,The Piano,1993,7.5,87495,"Drama,Music,Romance"
235,235,tt10230994,Beckett,2021,5.6,25404,"Action,Crime,Drama"
236,236,tt11343600,Brand New Cherry Flavor,2021,7.1,14694,"Drama,Horror,Mystery"
237,237,tt14252964,Gone for Good,2021,6.3,3982,"Crime,Drama,Mystery"
238,238,tt15068148,The Kingdom,2021,6.5,1355,"Crime,Drama"
239,239,tt15483266,The Kingdom,2021,7.0,234,"Action,Crime,Drama"
240,240,tt14940012,The Kingdom,2021,7.9,11,Documentary
241,241,tt15290740,The Kingdom,2021,7.8,98,Documentary
242,242,tt9731288,Valeria,2020,6.5,5603,"Adventure,Comedy,Drama"
243,243,tt10183912,AlRawabi School for Girls,2021,7.4,5777,Drama
244,244,tt14494898,Lokillo: Nothing's the Same,2021,4.6,51,Comedy
245,245,tt9174358,Monster Hunter: Legends of the Guild,2021,5.1,1250,"Action,Adventure,Animation"
246,246,tt15078760,Bake Squad,2021,6.9,683,"Game-Show,Reality-TV"
247,247,tt13648220,Misha and the Wolves,2021,6.7,2383,"Documentary,Drama"
248,248,tt12783454,The Kissing Booth 3,2021,4.7,15808,"Comedy,Romance"
249,249,tt2058107,The Railway Man,2013,7.1,40035,"Biography,Drama,Romance"
250,250,tt9165438,Gabby's Dollhouse,2021,7.1,367,"Adventure,Animation,Comedy"
251,251,tt16077338,I Need Romance,2021,7.9,28,Romance
252,252,tt9266592,The Crowned Clown,2019,8.0,906,"Drama,History,Romance"
253,253,tt15085802,Untold: Malice at the Palace,2021,7.5,7625,"Crime,Documentary,Sport"
254,254,tt1441951,Quartet,2012,6.8,20261,"Comedy,Drama,Music"
255,255,tt14033300,Slay,2021,3.2,103,Comedy
256,256,tt6060444,The Paper Tigers,2020,6.3,4263,"Action,Comedy"
257,257,tt9073940,Hit & Run,2021,7.0,8602,"Action,Crime,Drama"
258,258,tt12810568,Hit & Run,2020,8.1,177,"Comedy,Drama,Romance"
259,259,tt11516468,Hit & Run,2021,7.1,308,"Action,Crime,Drama"
260,260,tt13357946,Navarasa,2021,5.8,3488,Drama
261,261,tt13113544,Quam's Money,2020,3.6,65,"Comedy,Crime"
262,262,tt10675724,The Swarm,2020,5.3,6825,"Drama,Fantasy,Horror"
263,263,tt14366176,Vivo,2021,7.7,34,Documentary
264,264,tt6338498,Vivo,2021,6.7,17850,"Adventure,Animation,Comedy"
265,265,tt2112124,Chennai Express,2013,6.0,53666,"Action,Adventure,Comedy"
266,266,tt4103686,City of God: 10 Years Later,2013,6.4,1317,Documentary
267,267,tt13244024,Lady Boss: The Jackie Collins Story,2021,6.8,392,Documentary
268,268,tt2385126,'76,2016,5.6,223,"Drama,Romance"
269,269,tt18212948,Aftermath,2020,10.0,7,"Short,Thriller"
270,270,tt13959532,Aftermath,2020,6.8,6,"Documentary,History"
271,271,tt10550778,Aftermath,2020,7.4,24,"Drama,Sci-Fi,Short"
272,272,tt12711128,Aftermath,2021,8.9,5572,"Action,Adventure,Animation"
273,273,tt12799156,Aftermath,2020,7.2,5,"Drama,Horror,Sci-Fi"
274,274,tt14207190,Aftermath,2021,6.9,277,"Action,Crime,Drama"
275,275,tt10293662,Aftermath,2021,8.0,3492,"Action,Comedy,Drama"
276,276,tt14128898,Aftermath,2021,5.0,26,"Short,Thriller"
277,277,tt10691162,Aftermath,2021,5.3,15321,"Drama,Horror,Mystery"
278,278,tt10911880,Aftermath,2020,7.4,18,"Drama,Romance,Sport"
279,279,tt15225390,Aftermath,2021,7.5,37,Drama
280,280,tt15049206,Cocaine Cowboys: The Kings of Miami,2021,7.1,2667,"Crime,Documentary,History"
281,281,tt11937662,Control Z,2020,6.9,8304,"Drama,Thriller"
282,282,tt12433294,Control Z,2021,8.1,77,"Drama,Thriller"
283,283,tt3530668,Autumn's Concerto,2009,7.9,488,"Drama,Romance"
284,284,tt0113280,Heavy,1995,6.8,4984,"Drama,Romance"
285,285,tt4381290,Office Girls,2011,6.8,150,Romance
286,286,tt11224358,Pray Away,2021,6.5,2766,Documentary
287,287,tt15036416,Shiny_Flakes: The Teenage Drug Lord,2021,7.3,4635,"Biography,Crime,Documentary"
288,288,tt14992232,Top Secret UFO Projects: Declassified,2021,5.5,1396,Documentary
289,289,tt6707142,Two Fathers,2013,8.0,59,Drama
290,290,tt0103786,Beethoven,1992,5.7,71193,"Comedy,Drama,Family"
291,291,tt0106375,Beethoven's 2nd,1993,4.9,27911,"Comedy,Family,Romance"
292,292,tt0442933,Beowulf,2007,6.3,167393,"Action,Adventure,Animation"
293,293,tt2158405,Beowulf,2007,7.9,30,Documentary
294,294,tt3344680,Boyka: Undisputed,2016,6.9,28693,"Action,Drama,Sport"
295,295,tt0264464,Catch Me If You Can,2002,8.1,943040,"Biography,Crime,Drama"
296,296,tt0594821,Catch Me If You Can,2002,4.7,31,"Documentary,Short"
297,297,tt0844471,Cloudy with a Chance of Meatballs,2009,6.9,227207,"Adventure,Animation,Comedy"
298,298,tt1478314,Cloudy with a Chance of Meatballs,2009,7.1,97,"Adventure,Comedy,Fantasy"
299,299,tt0149261,Deep Blue Sea,1999,5.9,132597,"Action,Adventure,Sci-Fi"
300,300,tt0091042,Ferris Bueller's Day Off,1986,7.8,349393,Comedy
301,301,tt10027726,Five Feet Apart,2019,8.3,8,Talk-Show
302,302,tt10016330,Five Feet Apart,2019,7.8,6,"Comedy,Talk-Show"
303,303,tt6472976,Five Feet Apart,2019,7.2,62548,"Drama,Romance"
304,304,tt0349467,Freedomland,2006,5.1,16290,"Crime,Drama,Mystery"
305,305,tt0452625,Good Luck Chuck,2007,5.6,90006,"Comedy,Romance"
306,306,tt1375666,Inception,2010,8.8,2277720,"Action,Adventure,Sci-Fi"
307,307,tt1695201,Inception,2010,8.3,24,"Documentary,Short"
308,308,tt1799669,Inception,2010,5.0,13,"Comedy,Short"
309,309,tt0175880,Magnolia,1999,8.0,308609,Drama
310,310,tt0110443,Major Payne,1995,6.2,35353,"Adventure,Comedy,Family"
311,311,tt0102492,My Girl,1991,6.9,80167,"Comedy,Drama,Family"
312,312,tt0110613,My Girl 2,1994,5.2,19773,"Comedy,Drama,Family"
313,313,tt0910936,Pineapple Express,2008,6.9,335485,"Action,Comedy,Crime"
314,314,tt0762125,Planet 51,2009,6.0,54911,"Adventure,Animation,Comedy"
