titleId,c_index
tt0000181,C0
tt0000225,C0
tt0000230,C0
tt0000308,C2
tt0000380,C0
tt0000420,C0
tt0000439,C3
tt0000487,C3
tt0000575,C0
tt0000624,C0
tt0000757,C4
tt0000758,C5
tt0000969,C6
tt0001008,C3
tt0001033,C0
tt0001144,C7
tt0001397,C8
tt0001539,C7
tt0001545,C0
tt0001546,C0
tt0001632,C0
tt0001682,C0
tt0001823,C0
tt0001827,C9
tt0001877,C4
tt0002076,C10
tt0002089,C11
tt0002149,C0
tt0002174,C3
tt0002197,C0
tt0002218,C12
tt0002390,C0
tt0002465,C0
tt0002538,C6
tt0002545,C0
tt0002628,C13
tt0002641,C14
tt0002646,C3
tt0002718,C10
tt0002721,C10
tt0002739,C11
tt0002804,C0
tt0002866,C15
tt0002956,C16
tt0003088,C0
tt0003148,C0
tt0003150,C7
tt0003174,C17
tt0003209,C0
tt0003317,C3
tt0003327,C3
tt0003337,C0
tt0003474,C0
tt0003606,C0
tt0003666,C18
tt0003684,C19
tt0003772,C0
tt0003859,C0
tt0004026,C20
tt0004125,C4
tt0004185,C0
tt0004220,C0
tt0004259,C4
tt0004327,C21
tt0004355,C7
tt0004403,C8
tt0004440,C6
tt0004451,C0
tt0004460,C0
tt0004536,C0
tt0004558,C22
tt0004604,C0
tt0004613,C23
tt0004633,C24
tt0004696,C25
tt0004780,C26
tt0004873,C0
tt0004959,C0
tt0004965,C12
tt0005002,C0
tt0005044,C27
tt0005059,C28
tt0005060,C11
tt0005061,C11
tt0005077,C11
tt0005149,C19
tt0005188,C13
tt0005196,C0
tt0005200,C4
tt0005308,C0
tt0005504,C0
tt0005526,C3
tt0005561,C0
tt0005600,C0
tt0005728,C29
tt0005735,C0
tt0005744,C0
tt0005760,C30
tt0005763,C31
tt0005809,C12
tt0005816,C0
tt0005835,C32
tt0005842,C14
tt0005928,C3
tt0006002,C22
tt0006008,C0
tt0006055,C0
tt0006153,C0
tt0006184,C0
tt0006242,C26
tt0006317,C0
tt0006333,C0
tt0006408,C18
tt0006431,C33
tt0006433,C4
tt0006437,C0
tt0006440,C4
tt0006496,C0
tt0006564,C3
tt0006582,C13
tt0006616,C34
tt0006675,C0
tt0006703,C0
tt0006733,C3
tt0006796,C0
tt0006866,C7
tt0006932,C33
tt0007061,C35
tt0007094,C7
tt0007096,C7
tt0007120,C0
tt0007145,C26
tt0007146,C36
tt0007148,C6
tt0007190,C0
tt0007205,C4
tt0007267,C37
tt0007300,C0
tt0007326,C26
tt0007330,C4
tt0007338,C5
tt0007388,C24
tt0007446,C38
tt0007447,C15
tt0007454,C25
tt0007482,C39
tt0007574,C40
tt0007673,C0
tt0007684,C26
tt0007692,C0
tt0007707,C4
tt0007709,C41
tt0007898,C16
tt0007999,C15
tt0008076,C42
tt0008123,C0
tt0008156,C0
tt0008305,C6
tt0008411,C38
tt0008468,C33
tt0008540,C0
tt0008565,C4
tt0008664,C0
tt0008671,C0
tt0008722,C16
tt0008822,C0
tt0008848,C14
tt0008849,C16
tt0008869,C4
tt0008950,C11
tt0008978,C0
tt0009276,C0
tt0009295,C0
tt0009372,C5
tt0009382,C4
tt0009384,C0
tt0009442,C0
tt0009616,C7
tt0009708,C43
tt0009719,C0
tt0009721,C6
tt0009748,C0
tt0010064,C13
tt0010156,C0
tt0010168,C36
tt0010193,C0
tt0010261,C0
tt0010270,C44
tt0010391,C4
tt0010477,C0
tt0010484,C39
tt0010536,C13
tt0010545,C0
tt0010548,C0
tt0010598,C45
tt0010600,C46
tt0010622,C47
tt0010640,C0
tt0010654,C48
tt0010674,C49
tt0010715,C23
tt0010727,C11
tt0010798,C0
tt0010935,C50
tt0010969,C3
tt0010987,C30
tt0010999,C4
tt0011001,C6
tt0011013,C0
tt0011044,C11
tt0011094,C0
tt0011108,C51
tt0011237,C20
tt0011398,C0
tt0011415,C52
tt0011443,C4
tt0011588,C0
tt0011604,C3
tt0011676,C51
tt0011721,C53
tt0011754,C0
tt0011785,C6
tt0011809,C16
tt0011816,C26
tt0011890,C36
tt0011911,C0
tt0011922,C7
tt0011973,C0
tt0012020,C27
tt0012030,C9
tt0012087,C0
tt0012091,C6
tt0012123,C39
tt0012137,C0
tt0012161,C0
tt0012173,C15
tt0012188,C0
tt0012225,C54
tt0012299,C0
tt0012317,C55
tt0012328,C0
tt0012349,C0
tt0012350,C9
tt0012382,C56
tt0012450,C0
tt0012469,C31
tt0012494,C13
tt0012515,C43
tt0012565,C39
tt0012571,C0
tt0012720,C0
tt0012752,C25
tt0012929,C0
tt0012987,C0
tt0013006,C0
tt0013007,C0
tt0013008,C0
tt0013014,C0
tt0013016,C0
tt0013038,C3
tt0013059,C33
tt0013071,C0
tt0013145,C3
tt0013234,C7
tt0013304,C0
tt0013371,C7
tt0013480,C58
tt0013496,C4
tt0013520,C0
tt0013556,C0
tt0013590,C0
tt0013597,C5
tt0013599,C0
tt0013607,C0
tt0013666,C59
tt0013674,C25
tt0013704,C0
tt0013985,C51
tt0013994,C0
tt0014108,C36
tt0014124,C12
tt0014132,C0
tt0014137,C0
tt0014183,C0
tt0014189,C0
tt0014199,C0
tt0014339,C33
tt0014374,C0
tt0014463,C33
tt0014566,C0
tt0014577,C0
tt0014608,C0
tt0014676,C13
tt0014720,C0
tt0014773,C0
tt0014892,C0
tt0015042,C4
tt0015051,C0
tt0015064,C0
tt0015124,C0
tt0015136,C4
tt0015168,C0
tt0015176,C55
tt0015224,C0
tt0015230,C0
tt0015334,C8
tt0015341,C0
tt0015342,C4
tt0015411,C60
tt0015490,C4
tt0015504,C18
tt0015593,C0
tt0015683,C0
tt0015684,C61
tt0015873,C0
tt0016019,C0
tt0016099,C0
tt0016112,C6
tt0016123,C62
tt0016138,C63
tt0016220,C6
tt0016243,C24
tt0016338,C4
tt0016417,C4
tt0016468,C0
tt0016491,C7
tt0016495,C4
tt0016510,C0
tt0016524,C64
tt0016628,C26
tt0016709,C11
tt0016787,C0
tt0016796,C0
tt0016916,C0
tt0016975,C4
tt0017010,C3
tt0017020,C65
tt0017023,C31
tt0017024,C4
tt0017122,C12
tt0017128,C7
tt0017162,C0
tt0017164,C0
tt0017240,C0
